
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object	Plural description for UI		Display Location
ABILITYCATEGORY:Barbarian Rage Variant	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:RageChoice	PLURAL:Barbarian Rage Variants	DISPLAYLOCATION:Class Abilities

# Ability Category		Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object	Plural description for UI	Display Location
ABILITYCATEGORY:Bard Variant	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:BardVariant	PLURAL:Bard Variants		DISPLAYLOCATION:Class Abilities

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Prestige Bard Unique Spells	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AddBardSpellCasting	PLURAL:Prestige Bard Unique Spells	DISPLAYLOCATION:Class Abilities

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI			Display Location
ABILITYCATEGORY:Prestige Paladin Unique Spells	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AddPaladinSpellCasting	PLURAL:Prestige Paladin Unique Spells	DISPLAYLOCATION:Class Abilities

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI			Display Location
ABILITYCATEGORY:Prestige Ranger Bonus Feats	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:PrestigeRangerBonusFeat	PLURAL:Prestige Ranger Bonus Feats		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Prestige Ranger Unique Spells	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AddRangerSpellCasting	PLURAL:Prestige Ranger Unique Spells	DISPLAYLOCATION:Class Abilities


