# CVS $Revision: 1.1 $ $Author: tirgwaith $ -- Sat Jun 12 08:52:41 2004 -- reformated by prettylst.pl v1.32 (build 353)
SOURCELONG:Codex of Erde|SOURCESHORT:CodexErde|SOURCEWEB:http://www.trolllord.com
# Original Entry by: Tir Gwaith

# Language			Type
Aenochian			TYPE:Spoken
Language of Creation	TYPE:Spoken
Dwarven			TYPE:Spoken
Fontenouq High Elven	TYPE:Spoken
Shindolay High Elven	TYPE:Spoken
Twilight Elven		TYPE:Spoken
Wild Elven			TYPE:Spoken
Wood Elven			TYPE:Spoken
Ethrum			TYPE:Spoken
Gnomish			TYPE:Spoken
Goblin			TYPE:Spoken
Halfling			TYPE:Spoken
Holy Tongue			TYPE:Spoken
Orc				TYPE:Spoken
Hobgoblin			TYPE:Spoken
Troll				TYPE:Spoken
Kobold			TYPE:Spoken
Runic				TYPE:Spoken
Thieves' Cant		TYPE:Spoken
Ungern			TYPE:Spoken
Vulgate			TYPE:Spoken
