
SOURCELONG:Mercenaries	SOURCESHORT:Merc	
# ORIGINAL ENTRY BY: Andrew Maitland
# ENTRY DATE: 03/28/2013







#Mods
Alertness.MOD				TYPE:RangerMercenaryFeat
Ambidexterity.MOD				TYPE:RangerMercenaryFeat
Blind-Fight.MOD				TYPE:RangerMercenaryFeat
Combat Casting.MOD			TYPE:RangerMercenaryFeat
Combat Reflexes.MOD			TYPE:RangerMercenaryFeat
Dodge.MOD					TYPE:RangerMercenaryFeat
Mobility.MOD				TYPE:RangerMercenaryFeat
Spring Attack.MOD				TYPE:RangerMercenaryFeat
Endurance.MOD				TYPE:RangerMercenaryFeat
Expertise.MOD				TYPE:RangerMercenaryFeat
Great Fortitude.MOD			TYPE:RangerMercenaryFeat
Improved Initiative.MOD			TYPE:RangerMercenaryFeat
Lightning Reflexes.MOD			TYPE:RangerMercenaryFeat
Point Blank Shot.MOD			TYPE:RangerMercenaryFeat
Far Shot.MOD				TYPE:RangerMercenaryFeat
Precise Shot.MOD				TYPE:RangerMercenaryFeat
Rapid Shot.MOD				TYPE:RangerMercenaryFeat
Shot on the Run.MOD			TYPE:RangerMercenaryFeat
Quick Draw.MOD				TYPE:RangerMercenaryFeat
Run.MOD					TYPE:RangerMercenaryFeat
Two-Weapon Fighting.MOD			TYPE:RangerMercenaryFeat
Improved Two-Weapon Fighting.MOD	TYPE:RangerMercenaryFeat
Weapon Finesse.MOD			TYPE:RangerMercenaryFeat
Weapon Focus.MOD				TYPE:RangerMercenaryFeat

