# Ability Name	CATEGORY	TYPE	DESC	SOURCEPAGE
# --- Aetheris ---
Hallowed Aura	CATEGORY:Special Ability	TYPE:AncestryFeature.Aetheris	DESC:Once per long rest when an ally within Close range rolls with Fear, change it to a roll with Hope.	SOURCEPAGE:p.32
Celestial Wings	CATEGORY:Special Ability	TYPE:AncestryFeature.Aetheris	DESC:You have wings that allow you to fly. Once per scene while flying, spend a Hope instead of marking an Armor Slot.	SOURCEPAGE:p.32

# --- Clank ---
Purposeful Design	CATEGORY:Special Ability	TYPE:AncestryFeature.Clank	DESC:Choose an Experience aligning with your purpose and gain a permanent +1 bonus to it.	SOURCEPAGE:p.33
Efficient	CATEGORY:Special Ability	TYPE:AncestryFeature.Clank	DESC:When taking a short rest, you can choose a long rest move instead of a short rest move.	SOURCEPAGE:p.33

# --- Drakona ---
Scales	CATEGORY:Special Ability	TYPE:AncestryFeature.Drakona	DESC:When taking Severe damage, mark a Stress to mark 1 fewer Hit Point.	SOURCEPAGE:p.33
Elemental Breath	CATEGORY:Special Ability	TYPE:AncestryFeature.Drakona	DESC:Instinct weapon dealing d8 magic damage using Proficiency against targets in Very Close range.	SOURCEPAGE:p.33

# --- Dwarf ---
Thick Skin	CATEGORY:Special Ability	TYPE:AncestryFeature.Dwarf	DESC:Gain +1 to your Major and Severe damage thresholds.	SOURCEPAGE:p.33
Stout	CATEGORY:Special Ability	TYPE:AncestryFeature.Dwarf	DESC:Advantage on reaction rolls against being knocked prone, pushed, or moved against your will.	SOURCEPAGE:p.33

# --- Earthkin ---
Stoneskin	CATEGORY:Special Ability	TYPE:AncestryFeature.Earthkin	DESC:Gain a permanent +1 bonus to your Armor Score and damage thresholds.	SOURCEPAGE:p.33
Immovable	CATEGORY:Special Ability	TYPE:AncestryFeature.Earthkin	DESC:While touching the ground, you cannot be lifted or moved against your will.	SOURCEPAGE:p.33

# --- Elf ---
Quick Reactions	CATEGORY:Special Ability	TYPE:AncestryFeature.Elf	DESC:Spend a Hope to gain advantage on any Agility or Instinct Reaction roll.	SOURCEPAGE:p.34
Trance	CATEGORY:Special Ability	TYPE:AncestryFeature.Elf	DESC:During a short rest, clear 1 additional Stress while maintaining awareness of surroundings.	SOURCEPAGE:p.34

# --- Emberkin ---
Fireproof	CATEGORY:Special Ability	TYPE:AncestryFeature.Emberkin	DESC:Immune to damage from magical or mundane flame.	SOURCEPAGE:p.34
Ignition	CATEGORY:Special Ability	TYPE:AncestryFeature.Emberkin	DESC:Mark a Stress to wreathe primary weapon in flame until scene end for +1d6 fire damage.	SOURCEPAGE:p.34

# --- Faerie ---
Fairy Wings	CATEGORY:Special Ability	TYPE:AncestryFeature.Faerie	DESC:You can hover and fly short distances freely.	SOURCEPAGE:p.34
Luck of the Fae	CATEGORY:Special Ability	TYPE:AncestryFeature.Faerie	DESC:Once per rest when you roll a 1 on any action die, reroll that die.	SOURCEPAGE:p.34

# --- Faun ---
Caprine Leap	CATEGORY:Special Ability	TYPE:AncestryFeature.Faun	DESC:Leap anywhere within Close range as normal movement to vault obstacles and gaps.	SOURCEPAGE:p.35
Surefooted	CATEGORY:Special Ability	TYPE:AncestryFeature.Faun	DESC:Ignore movement penalties from difficult terrain and loose footing.	SOURCEPAGE:p.35

# --- Firbolg ---
Giant Heritage	CATEGORY:Special Ability	TYPE:AncestryFeature.Firbolg	DESC:Count as one size larger for lifting, dragging, and carrying capacity.	SOURCEPAGE:p.35
Nature Sense	CATEGORY:Special Ability	TYPE:AncestryFeature.Firbolg	DESC:Advantage on Instinct rolls to track creatures or identify natural hazards.	SOURCEPAGE:p.35

# --- Fungril ---
Spore Cloud	CATEGORY:Special Ability	TYPE:AncestryFeature.Fungril	DESC:Mark a Stress to release spores in Very Close range; affected enemies suffer disadvantage on attacks for 1 round.	SOURCEPAGE:p.35
Decomposer	CATEGORY:Special Ability	TYPE:AncestryFeature.Fungril	DESC:Clear 1 HP during a rest if organic plant or animal material is available to decompose.	SOURCEPAGE:p.35

# --- Galapa ---
Shell Defense	CATEGORY:Special Ability	TYPE:AncestryFeature.Galapa	DESC:Retract into your shell as a reaction to gain +3 Armor Score and +2 thresholds until you emerge.	SOURCEPAGE:p.35
Hold Breath	CATEGORY:Special Ability	TYPE:AncestryFeature.Galapa	DESC:You can hold your breath underwater for up to 1 hour without suffocation.	SOURCEPAGE:p.35

# --- Giant ---
Endurance	CATEGORY:Special Ability	TYPE:AncestryFeature.Giant	DESC:Gain an additional Hit Point slot at character creation.	SOURCEPAGE:p.36
Towering Presence	CATEGORY:Special Ability	TYPE:AncestryFeature.Giant	DESC:Advantage on Strength and Presence rolls made to intimidate or physically obstruct targets.	SOURCEPAGE:p.36

# --- Gnome ---
Inquisitive Mind	CATEGORY:Special Ability	TYPE:AncestryFeature.Gnome	DESC:Spend a Hope to ask the GM one clarifying question about a mechanism, creature, or anomaly.	SOURCEPAGE:p.36
Tinkerer	CATEGORY:Special Ability	TYPE:AncestryFeature.Gnome	DESC:Advantage on Knowledge rolls to craft, modify, or disable mundane gadgets and lock mechanisms.	SOURCEPAGE:p.36

# --- Goblin ---
Nimble Escape	CATEGORY:Special Ability	TYPE:AncestryFeature.Goblin	DESC:When missed by an attack in Melee, move to Close range without provoking reactions.	SOURCEPAGE:p.36
Danger Sense	CATEGORY:Special Ability	TYPE:AncestryFeature.Goblin	DESC:Advantage on Reaction rolls against traps, ambushes, and environmental hazards.	SOURCEPAGE:p.36

# --- Halfling ---
Small and Nimble	CATEGORY:Special Ability	TYPE:AncestryFeature.Halfling	DESC:Gain a permanent +1 bonus to your Evasion score.	SOURCEPAGE:p.36
Cheerful Luck	CATEGORY:Special Ability	TYPE:AncestryFeature.Halfling	DESC:Once per session, spend a Hope to turn a failed Action roll into a success with Fear.	SOURCEPAGE:p.36

# --- Human ---
High Stamina	CATEGORY:Special Ability	TYPE:AncestryFeature.Human	DESC:Gain an additional Stress slot at character creation.	SOURCEPAGE:p.36
Versatile	CATEGORY:Special Ability	TYPE:AncestryFeature.Human	DESC:Gain +1 bonus to any one trait score of your choice at character creation.	SOURCEPAGE:p.36

# --- Infernis ---
Hellfire Resistance	CATEGORY:Special Ability	TYPE:AncestryFeature.Infernis	DESC:Take half damage from fire and infernal sources.	SOURCEPAGE:p.37
Hellfire Spark	CATEGORY:Special Ability	TYPE:AncestryFeature.Infernis	DESC:Instinct ranged attack dealing d6 magic fire damage at Close range.	SOURCEPAGE:p.37

# --- Katari ---
Feline Agility	CATEGORY:Special Ability	TYPE:AncestryFeature.Katari	DESC:When taking fall damage, reduce the severity by one step.	SOURCEPAGE:p.37
Claws	CATEGORY:Special Ability	TYPE:AncestryFeature.Katari	DESC:Agility melee weapon dealing d6 physical damage with Melee range.	SOURCEPAGE:p.37

# --- Orc ---
Relentless	CATEGORY:Special Ability	TYPE:AncestryFeature.Orc	DESC:When taking lethal damage, spend 2 Hope to remain at 1 HP instead.	SOURCEPAGE:p.37
Battle Cry	CATEGORY:Special Ability	TYPE:AncestryFeature.Orc	DESC:Once per rest, spend 1 Hope to give all allies within Close range +1 to their next damage roll.	SOURCEPAGE:p.37

# --- Ribbet ---
Tongue Grab	CATEGORY:Special Ability	TYPE:AncestryFeature.Ribbet	DESC:Finesse action to grab an unattended object or target within Close range and pull it to you.	SOURCEPAGE:p.37
Amphibious	CATEGORY:Special Ability	TYPE:AncestryFeature.Ribbet	DESC:Breathe air and water freely; swim speed equals land speed.	SOURCEPAGE:p.37

# --- Simiah ---
Prehensile Tail	CATEGORY:Special Ability	TYPE:AncestryFeature.Simiah	DESC:Use your tail to manipulate light items, reload weapons, or hang from surfaces.	SOURCEPAGE:p.38
Tree Climber	CATEGORY:Special Ability	TYPE:AncestryFeature.Simiah	DESC:Advantage on Agility rolls to climb trees, ropes, buildings, and natural structures.	SOURCEPAGE:p.38

# --- Skykin ---
Wind Glider	CATEGORY:Special Ability	TYPE:AncestryFeature.Skykin	DESC:Glide safely across horizontal distances at a 2-to-1 ratio when falling from heights.	SOURCEPAGE:p.34
Feather Fall	CATEGORY:Special Ability	TYPE:AncestryFeature.Skykin	DESC:Immune to falling damage under normal gravity conditions.	SOURCEPAGE:p.34

# --- Tidekin ---
Water Breathing	CATEGORY:Special Ability	TYPE:AncestryFeature.Tidekin	DESC:Breathe underwater indefinitely without magical assistance.	SOURCEPAGE:p.34
Aquatic Grace	CATEGORY:Special Ability	TYPE:AncestryFeature.Tidekin	DESC:Advantage on all Agility and Finesse rolls made while submerged in water.	SOURCEPAGE:p.34

# --- Mixed Ancestry ---
Dual Heritage	CATEGORY:Special Ability	TYPE:AncestryFeature.MixedAncestry	DESC:Select one ancestry trait from two different base ancestries.	SOURCEPAGE:p.38
