# Ability Name	CATEGORY	TYPE	DESC	SOURCEPAGE
Oasis	CATEGORY:Special Ability	TYPE:CommunityFeature.Duneborne	DESC:During a short rest, you or an ally can reroll a die used for a downtime move and take the higher result.	SOURCEPAGE:p.38
Unbound	CATEGORY:Special Ability	TYPE:CommunityFeature.Freeborne	DESC:Once per session when you roll with Fear, you can change it into a roll with Hope instead.	SOURCEPAGE:p.39
Hardy	CATEGORY:Special Ability	TYPE:CommunityFeature.Frostborne	DESC:When you take a rest, you clear a Hit Point.	SOURCEPAGE:p.39
Close-Knit	CATEGORY:Special Ability	TYPE:CommunityFeature.Hearthborne	DESC:Once per long rest, you can spend any number of Hope to grant an ally within Far range an equal number of Hope.	SOURCEPAGE:p.39
Privilege	CATEGORY:Special Ability	TYPE:CommunityFeature.Highborne	DESC:You have advantage on rolls to consort with nobles, negotiate prices, or leverage your reputation to get what you want.	SOURCEPAGE:p.39
Well-Read	CATEGORY:Special Ability	TYPE:CommunityFeature.Loreborne	DESC:You have advantage on rolls that involve the history, culture, or politics of a prominent person or place.	SOURCEPAGE:p.39
Dedicated	CATEGORY:Special Ability	TYPE:CommunityFeature.Orderborne	DESC:Record three sayings or values your upbringing instilled in you. Once per rest, when you describe how you're embodying one of these principles through your current action, you can roll a d20 as your Hope Die.	SOURCEPAGE:p.40
Found Family	CATEGORY:Special Ability	TYPE:CommunityFeature.Reborne	DESC:Once per rest, you can spend a Hope to use an ally's Experience as if it were your own.	SOURCEPAGE:p.40
Steady	CATEGORY:Special Ability	TYPE:CommunityFeature.Ridgeborne	DESC:You have advantage on rolls to traverse dangerous cliffs and ledges, navigate harsh environments, and use your survival knowledge.	SOURCEPAGE:p.40
Know the Tide	CATEGORY:Special Ability	TYPE:CommunityFeature.Seaborne	DESC:When you roll with Fear, place a token on your community card (max equal to level). Spend tokens before an action roll to gain +1 per token.	SOURCEPAGE:p.41
Scoundrel	CATEGORY:Special Ability	TYPE:CommunityFeature.Slyborne	DESC:You have advantage on rolls to negotiate with criminals, detect lies, or find a safe place to hide.	SOURCEPAGE:p.41
Low-Light Living	CATEGORY:Special Ability	TYPE:CommunityFeature.Underborne	DESC:When you're in an area with low light or heavy shadow, you have advantage on rolls to hide, investigate, or perceive details within that area.	SOURCEPAGE:p.41
Nomadic Pack	CATEGORY:Special Ability	TYPE:CommunityFeature.Wanderborne	DESC:Add a Nomadic Pack to your inventory. Once per session, spend a Hope to pull out a useful mundane item.	SOURCEPAGE:p.41
Brave Face	CATEGORY:Special Ability	TYPE:CommunityFeature.Warborne	DESC:Once per session when you would be forced to mark a Stress, you can spend a Hope instead.	SOURCEPAGE:p.41
Lightfoot	CATEGORY:Special Ability	TYPE:CommunityFeature.Wildborne	DESC:Your movement is naturally silent. You have advantage on rolls to move without being heard.	SOURCEPAGE:p.42
