# Class Name	KEY	SPELLCAST	EVASION	HP	SOURCEPAGE
CLASS:Assassin	KEY:Assassin (Daggerheart)	SOURCEPAGE:p.9
CLASS:Bard	KEY:Bard (Daggerheart)	SOURCEPAGE:p.10
CLASS:Brawler	KEY:Brawler (Daggerheart)	SOURCEPAGE:p.11
CLASS:Druid	KEY:Druid (Daggerheart)	SOURCEPAGE:p.14
CLASS:Guardian	KEY:Guardian (Daggerheart)	SOURCEPAGE:p.19
CLASS:Ranger	KEY:Ranger (Daggerheart)	SOURCEPAGE:p.20
CLASS:Rogue	KEY:Rogue (Daggerheart)	SOURCEPAGE:p.22
CLASS:Seraph	KEY:Seraph (Daggerheart)	SOURCEPAGE:p.24
CLASS:Sorcerer	KEY:Sorcerer (Daggerheart)	SOURCEPAGE:p.25
CLASS:Warlock	KEY:Warlock (Daggerheart)	SOURCEPAGE:p.26
CLASS:Warrior	KEY:Warrior (Daggerheart)	SOURCEPAGE:p.28
CLASS:Witch	KEY:Witch (Daggerheart)	SOURCEPAGE:p.29
CLASS:Wizard	KEY:Wizard (Daggerheart)	SOURCEPAGE:p.30
