# Spell Name	CLASSES	RANGE	COST	DESC	SOURCEPAGE
# --- Cantrips & Tier 1 Spells ---
Prestidigitation	CLASSES:Wizard (Daggerheart)=1	RANGE:Close		DESC:Perform harmless, subtle magical effects at will (clean, soil, ignite small flames, create aromas).	SOURCEPAGE:p.30
Minor Illusion	CLASSES:Sorcerer (Daggerheart)=1|Wizard (Daggerheart)=1	RANGE:Close		DESC:Spellcast Roll (10) creates a visual illusion no larger than yourself convincing at Close range.	SOURCEPAGE:p.25
Wildtouch	CLASSES:Druid (Daggerheart)=1	RANGE:Close		DESC:Subtle natural effects at will (rapidly blossom flowers, summon breeze, light campfire).	SOURCEPAGE:p.14
Light Beam	CLASSES:Seraph (Daggerheart)=1|Wizard (Daggerheart)=1	RANGE:Far		DESC:Spellcast ranged attack dealing d6 radiant magic damage; illuminates area within Close range.	SOURCEPAGE:p.24
Mending Ray	CLASSES:Druid (Daggerheart)=1|Seraph (Daggerheart)=1	RANGE:Melee		DESC:Touch a broken mundane object or weapon to repair its structural integrity instantly.	SOURCEPAGE:p.15
Hex	CLASSES:Witch (Daggerheart)=1|Warlock (Daggerheart)=1	RANGE:Far		DESC:Afflict target with a curse; target suffers a penalty to damage rolls equal to caster tier.	SOURCEPAGE:p.29
Commune	CLASSES:Druid (Daggerheart)=1|Witch (Daggerheart)=1	RANGE:Self		DESC:Once per long rest, roll d6s equal to Spellcast trait to receive visions or answers from spirits.	SOURCEPAGE:p.29
Spirit Weapon	CLASSES:Seraph (Daggerheart)=1	RANGE:Close		DESC:Equipped weapon flies to Close range to attack and returns; mark Stress to target an additional foe.	SOURCEPAGE:p.24
Dark Cloud	CLASSES:Rogue (Daggerheart)=1|Warlock (Daggerheart)=1	RANGE:Close		DESC:Spellcast Roll (15) creates opaque cloud blocking line of sight; caster is Cloaked from blocked foes.	SOURCEPAGE:p.23
Moonbeam	CLASSES:Druid (Daggerheart)=1|Witch (Daggerheart)=1	RANGE:Close		DESC:Once per session, conjure moonlight granting allies +1 to Spellcast Rolls and true vision.	SOURCEPAGE:p.30
Arcane Bolt	CLASSES:Sorcerer (Daggerheart)=1|Wizard (Daggerheart)=1	RANGE:Far		DESC:Spellcast ranged attack dealing d8 pure magical force damage.	SOURCEPAGE:p.30
Frost Bite	CLASSES:Sorcerer (Daggerheart)=1|Witch (Daggerheart)=1	RANGE:Close		DESC:Spellcast attack dealing d6 cold damage; target has -1 to Agility rolls until next turn.	SOURCEPAGE:p.25
Flame Burst	CLASSES:Sorcerer (Daggerheart)=1|Wizard (Daggerheart)=1	RANGE:Close		DESC:Spellcast attack dealing 2d6 fire damage in a Very Close area of effect.	SOURCEPAGE:p.25
Thunderwave	CLASSES:Druid (Daggerheart)=1|Wizard (Daggerheart)=1	RANGE:Very Close		DESC:Shockwave pushes all adversaries in Very Close range back to Close range and deals d6 damage.	SOURCEPAGE:p.15
Healing Light	CLASSES:Seraph (Daggerheart)=1	RANGE:Close		DESC:Clear 1d6 Hit Points on a targeted ally within Close range.	SOURCEPAGE:p.24
