SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse
#Original Entry: Andrew Maitland

#Block: RSRD SKILLS

Appraise.MOD						TYPE:AdeptChoice.NormalSkill
Balance.MOD							TYPE:AdeptChoice.NormalSkill
Bluff.MOD							TYPE:AdeptChoice.NormalSkill
Climb.MOD							TYPE:AdeptChoice.NormalSkill
Control Shape.MOD						TYPE:AdeptChoice.NormalSkill
Craft (Alchemy).MOD					TYPE:AdeptChoice.NormalSkill
Craft (Armorsmithing).MOD				TYPE:AdeptChoice.NormalSkill
Craft (Blacksmithing).MOD				TYPE:AdeptChoice.NormalSkill
Craft (Bowmaking).MOD					TYPE:AdeptChoice.NormalSkill
Craft (Carpentry).MOD					TYPE:AdeptChoice.NormalSkill
Craft (Leatherworking).MOD				TYPE:AdeptChoice.NormalSkill
Craft (Painting).MOD					TYPE:AdeptChoice.NormalSkill
Craft (Pottery).MOD					TYPE:AdeptChoice.NormalSkill
Craft (Sculpting).MOD					TYPE:AdeptChoice.NormalSkill
Craft (Shipmaking).MOD					TYPE:AdeptChoice.NormalSkill
Craft (Stonemasonry).MOD				TYPE:AdeptChoice.NormalSkill
Craft (Trapmaking).MOD					TYPE:AdeptChoice.NormalSkill
Craft (Untrained).MOD					TYPE:AdeptChoice.NormalSkill
Craft (Weaponsmithing).MOD				TYPE:AdeptChoice.NormalSkill
Craft (Woodworking).MOD					TYPE:AdeptChoice.NormalSkill
Decipher Script.MOD					TYPE:AdeptChoice.NormalSkill
Diplomacy.MOD						TYPE:AdeptChoice.NormalSkill
Disable Device.MOD					TYPE:AdeptChoice.NormalSkill
Disguise.MOD						TYPE:AdeptChoice.NormalSkill
Escape Artist.MOD						TYPE:AdeptChoice.NormalSkill
Forgery.MOD							TYPE:AdeptChoice.NormalSkill
Gather Information.MOD					TYPE:AdeptChoice.NormalSkill
Handle Animal.MOD						TYPE:AdeptChoice.NormalSkill
Heal.MOD							TYPE:AdeptChoice.NormalSkill
Hide.MOD							TYPE:AdeptChoice.NormalSkill
Intimidate.MOD						TYPE:AdeptChoice.NormalSkill
Jump.MOD							TYPE:AdeptChoice.NormalSkill
Knowledge (Arcana).MOD					TYPE:AdeptChoice.NormalSkill
Knowledge (Architecture and Engineering).MOD	TYPE:AdeptChoice.NormalSkill
Knowledge (Dungeoneering).MOD				TYPE:AdeptChoice.NormalSkill
Knowledge (Geography).MOD				TYPE:AdeptChoice.NormalSkill
Knowledge (History).MOD					TYPE:AdeptChoice.NormalSkill
Knowledge (Local).MOD					TYPE:AdeptChoice.NormalSkill
Knowledge (Nature).MOD					TYPE:AdeptChoice.NormalSkill
Knowledge (Nobility and Royalty).MOD		TYPE:AdeptChoice.NormalSkill
Knowledge (Religion).MOD				TYPE:AdeptChoice.NormalSkill
Knowledge (The Planes).MOD				TYPE:AdeptChoice.NormalSkill
Listen.MOD							TYPE:AdeptChoice.NormalSkill
Move Silently.MOD						TYPE:AdeptChoice.NormalSkill
Open Lock.MOD						TYPE:AdeptChoice.NormalSkill
Perform (Act).MOD						TYPE:AdeptChoice.NormalSkill
Perform (Comedy).MOD					TYPE:AdeptChoice.NormalSkill
Perform (Dance).MOD					TYPE:AdeptChoice.NormalSkill
Perform (Keyboard Instruments).MOD			TYPE:AdeptChoice.NormalSkill
Perform (Oratory).MOD					TYPE:AdeptChoice.NormalSkill
Perform (Percussion Instruments).MOD		TYPE:AdeptChoice.NormalSkill
Perform (Sing).MOD					TYPE:AdeptChoice.NormalSkill
Perform (String Instruments).MOD			TYPE:AdeptChoice.NormalSkill
Perform (Wind Instruments).MOD			TYPE:AdeptChoice.NormalSkill
Profession (Hunter).MOD					TYPE:AdeptChoice.NormalSkill
Profession (Miner).MOD					TYPE:AdeptChoice.NormalSkill
Profession (Siege Engineer).MOD			TYPE:AdeptChoice.NormalSkill
Ride.MOD							TYPE:AdeptChoice.NormalSkill
Search.MOD							TYPE:AdeptChoice.NormalSkill
Sense Motive.MOD						TYPE:AdeptChoice.NormalSkill
Sleight of Hand.MOD					TYPE:AdeptChoice.NormalSkill
Speak Language.MOD					TYPE:AdeptChoice.NormalSkill
Spellcraft.MOD						TYPE:AdeptChoice.NormalSkill
Spot.MOD							TYPE:AdeptChoice.NormalSkill
Survival.MOD						TYPE:AdeptChoice.NormalSkill
Swim.MOD							TYPE:AdeptChoice.NormalSkill
Tumble.MOD							TYPE:AdeptChoice.NormalSkill
Use Magic Device.MOD					TYPE:AdeptChoice.NormalSkill
Use Rope.MOD						TYPE:AdeptChoice.NormalSkill

