SOURCELONG:Quintessential Samurai	SOURCESHORT:mpgqs	
#SOURCEWEB:www.mongoose.com
# Original Entry by: Andrew Maitland


# The Samurai -------------------------------------------------------------------------
CLASS:The Samurai	SOURCEPAGE:p.12	HD:10	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex,BASE.Will|CL/2+2
CLASS:The Samurai	PREALIGN:LG,LN,LE
CLASS:The Samurai	STARTSKILLPTS:4	CSKILL:Bluff|Climb|TYPE=Craft|Diplomacy|Gather Information|Handle Animal|Innuendo|Intimidate|Jump|TYPE=Perform|Ride|Sense Motive|Swim
1	AUTO:WEAPONPROF|Katana|Wakizashi|TYPE=Bow
1	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium	
1	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light|SHIELDTYPE=Heavy|SHIELDTYPE=Tower
1	AUTO:FEAT|Exotic Weapon Proficiency (Katana)
# Level Progression
2	BONUS:ABILITYPOOL|Samurai Feat|1
6	BONUS:ABILITYPOOL|Samurai Feat|1
10	BONUS:ABILITYPOOL|Samurai Feat|1
16	BONUS:ABILITYPOOL|Samurai Feat|1
18	BONUS:ABILITYPOOL|Samurai Feat|1
20	BONUS:ABILITYPOOL|Samurai Feat|1
# 
1	BONUS:ABILITYPOOL|Sword School Feat|1
4	BONUS:ABILITYPOOL|Sword School Feat|1
8	BONUS:ABILITYPOOL|Sword School Feat|1
12	BONUS:ABILITYPOOL|Sword School Feat|1
#
12	AUTO:FEAT|Improved Two Weapon Fighting
14	AUTO:FEAT|Daisho Fighting



###Block: Prestige Classes -------------------------------------

# Bodyguard
CLASS:Bodyguard	SOURCEPAGE:p.14

# Delegate
CLASS:Delegate	SOURCEPAGE:p.15

# Information Broker
CLASS:Information Broker	SOURCEPAGE:p.17

# Overseer
CLASS:Overseer		SOURCEPAGE:p.20

# Paragon
CLASS:Paragon	SOURCEPAGE:p.21

# Protector
CLASS:Protector	SOURCEPAGE:p.23

# Ronin
CLASS:Ronin	SOURCEPAGE:p.24

# Slayer
CLASS:Slayer	SOURCEPAGE:p.26






