SOURCELONG:OSRIC - Old School Reference & Index Compilation		SOURCESHORT:OSRIC	SOURCEWEB:http://www.knights-n-knaves.com/osric/
#Original Entry: Andrew Maitland

#TODO: remove non-ascii '  
#      Add proper TYPEs
#      Remove ',' commas and use standard () parenthesis
#	

###Block: Potions ------------------------
Animal Control		TYPE:Magic	SOURCEPAGE:p.313
Clairaudience		TYPE:Magic	SOURCEPAGE:p.314
Clairvoyance		TYPE:Magic	SOURCEPAGE:p.314
Climbing		TYPE:Magic	SOURCEPAGE:p.314
Delusion		TYPE:Magic	SOURCEPAGE:p.314
Diminution		TYPE:Magic	SOURCEPAGE:p.314
Dragon Control		TYPE:Magic	SOURCEPAGE:p.314
ESP			TYPE:Magic	SOURCEPAGE:p.314
Extra-Healing		TYPE:Magic	SOURCEPAGE:p.314
Fire Resistance		TYPE:Magic	SOURCEPAGE:p.314
Flying		TYPE:Magic	SOURCEPAGE:p.314
Gaseous Form		TYPE:Magic	SOURCEPAGE:p.314
Giant Control		TYPE:Magic	SOURCEPAGE:p.314
Giant Strength		TYPE:Magic	SOURCEPAGE:p.314
Growth		TYPE:Magic	SOURCEPAGE:p.315
Healing		TYPE:Magic	SOURCEPAGE:p.315
Heroism		TYPE:Magic	SOURCEPAGE:p.315
Human Control		TYPE:Magic	SOURCEPAGE:p.315
Invisibility		TYPE:Magic	SOURCEPAGE:p.315
Invulnerability		TYPE:Magic	SOURCEPAGE:p.315
Levitation		TYPE:Magic	SOURCEPAGE:p.315
Longevity		TYPE:Magic	SOURCEPAGE:p.315
Oil of Etherealness		TYPE:Magic	SOURCEPAGE:p.315
Oil of Slipperiness		TYPE:Magic	SOURCEPAGE:p.315
Philtre of Love		TYPE:Magic	SOURCEPAGE:p.315
Philtre of Persuasiveness		TYPE:Magic	SOURCEPAGE:p.315
Plant Control		TYPE:Magic	SOURCEPAGE:p.315
Polymorph		TYPE:Magic	SOURCEPAGE:p.316
Speed		TYPE:Magic	SOURCEPAGE:p.316
Super-Heroism		TYPE:Magic	SOURCEPAGE:p.316
Sweet Water		TYPE:Magic	SOURCEPAGE:p.316
Treasure Finding		TYPE:Magic	SOURCEPAGE:p.316
Undead Control		TYPE:Magic	SOURCEPAGE:p.316
Water Breathing		TYPE:Magic	SOURCEPAGE:p.316

###Block: Scrolls --------------------------------------------
Ward of Demons		TYPE:Magic	SOURCEPAGE:p.317
Ward of Devils		TYPE:Magic	SOURCEPAGE:p.317
Ward of Elementals		TYPE:Magic	SOURCEPAGE:p.317
Ward of Lycanthropes		TYPE:Magic	SOURCEPAGE:p.317
Ward of Magic		TYPE:Magic	SOURCEPAGE:p.317
Ward of Petrifaction		TYPE:Magic	SOURCEPAGE:p.317
Ward of Possession		TYPE:Magic	SOURCEPAGE:p.317
Ward of Undead		TYPE:Magic	SOURCEPAGE:p.317

###Block: Rods, Staves And Wands -----------------------------
Absorption		TYPE:Magic	SOURCEPAGE:p.318
Cancellation		TYPE:Magic	SOURCEPAGE:p.318
Captivation		TYPE:Magic	SOURCEPAGE:p.318
Lordly Might		TYPE:Magic	SOURCEPAGE:p.318
Resurrection		TYPE:Magic	SOURCEPAGE:p.319
Rulership		TYPE:Magic	SOURCEPAGE:p.319
Striking		TYPE:Magic	SOURCEPAGE:p.319
Compulsion		TYPE:Magic	SOURCEPAGE:p.319
Healing		TYPE:Magic	SOURCEPAGE:p.319
Power		TYPE:Magic	SOURCEPAGE:p.319
Serpent		TYPE:Magic	SOURCEPAGE:p.319
Withering		TYPE:Magic	SOURCEPAGE:p.320
Wizardry		TYPE:Magic	SOURCEPAGE:p.320
Detecting Magic		TYPE:Magic	SOURCEPAGE:p.320
Detecting Minerals and Metals		TYPE:Magic	SOURCEPAGE:p.320
Detecting Traps and Secret Doors		TYPE:Magic	SOURCEPAGE:p.320
Enemy Detection		TYPE:Magic	SOURCEPAGE:p.320
Fear		TYPE:Magic	SOURCEPAGE:p.320
Fire		TYPE:Magic	SOURCEPAGE:p.320
Ice		TYPE:Magic	SOURCEPAGE:p.321
Light		TYPE:Magic	SOURCEPAGE:p.321
Illusion		TYPE:Magic	SOURCEPAGE:p.321
Lightning		TYPE:Magic	SOURCEPAGE:p.321
Magic Missiles		TYPE:Magic	SOURCEPAGE:p.321
Negation		TYPE:Magic	SOURCEPAGE:p.321
Paralysation		TYPE:Magic	SOURCEPAGE:p.321
Polymorphing		TYPE:Magic	SOURCEPAGE:p.321
Summoning		TYPE:Magic	SOURCEPAGE:p.321
Wonder		TYPE:Magic	SOURCEPAGE:p.322

###Block: Magic Armour And Shields ------------------------------------
Plate Mail of Ethereality		TYPE:Magic	SOURCEPAGE:p.322
Large Shield +1, Missile Deflector		TYPE:Magic	SOURCEPAGE:p.322
Magic Swords		TYPE:Magic	SOURCEPAGE:p.322
Bleeding Sword		TYPE:Magic	SOURCEPAGE:p.322
Dancing Sword		TYPE:Magic	SOURCEPAGE:p.323
Defender		TYPE:Magic	SOURCEPAGE:p.323
Dragonbane		TYPE:Magic	SOURCEPAGE:p.323
Flaming Blade		TYPE:Magic	SOURCEPAGE:p.323
Frost Brand		TYPE:Magic	SOURCEPAGE:p.323
Giantbane		TYPE:Magic	SOURCEPAGE:p.323
Holy Sword		TYPE:Magic	SOURCEPAGE:p.323
Keenblade		TYPE:Magic	SOURCEPAGE:p.323
Luck Blade		TYPE:Magic	SOURCEPAGE:p.323
Magebane		TYPE:Magic	SOURCEPAGE:p.323
