# CVS $Revision: 1.1 $ $Author: eddyanthony $ -- Mon Jul  7 16:59:30 2008 -- reformated by prettylst.pl v1.38 (build 6887)
SOURCELONG:Curse of the Crimson Throne: Skeletons of Scarwall	SOURCESHORT:CotCT:SoS	SOURCEWEB:http://paizo.com/pathfinder/v5748btpy83yw	SOURCEDATE:2008-08

###Block: Chained Spirit
# Ability Name			Output Name					Category of Ability		Type								Visible		Description																																												Source Page
Spirit Anchor			OUTPUTNAME:Spirit Anchor (Su)		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Through the use of its chain spirit ability (see below), a chained spirit can gain power by binding other powerful creatures to a specific area.																	SOURCEPAGE:p. 78
Chain Spirit			OUTPUTNAME:Chain Spirit (Su)		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:As a standard action, once per day, a chained spirit can attempt to chain any evil-aligned intelligent, corporeal creature it can detect.																		SOURCEPAGE:p. 79
Chains				OUTPUTNAME:Chains (Su)			CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Numerous chains extend from a chained spirit, a number of these—one for every anchoring spirit—are corporeal and can make melee attacks.																		SOURCEPAGE:p. 79
Charisma Drain			OUTPUTNAME:Charisma Drain (Su)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Any creature hit by a chained spirit’s chains or incorporeal touch attack must succeed on a DC 25 Will save or take 1d6 points of Charisma drain.																SOURCEPAGE:p. 79
Create Spawn			OUTPUTNAME:Create Spawn (Su)		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Any humanoid slain by a chained spirit becomes a spectre in 1d4 rounds.																															SOURCEPAGE:p. 79
Spectral Bindings		OUTPUTNAME:Spectral Bindings (Su)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:A chained spirit is extremely mobile with one major hindrance: no matter how far it moves on its turn, as long as it has at least one anchoring spirit, it automatically returns to its starting place when its turn is ended.	SOURCEPAGE:p. 79
Spectral Sight			OUTPUTNAME:Spectral Sight (Su)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:A chain spirit can see and hear through the senses of any of its anchor spirits whenever it wishes, just as if it were using both effects of the spell clairaudience/clairvoyance.										SOURCEPAGE:p. 79
Spiritsense			OUTPUTNAME:Spiritsense (Su)		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:A chained spirit can detect both the living and the undead.																																		SOURCEPAGE:p. 79
Unholy Fortitude		OUTPUTNAME:Unholy Fortitude (Ex)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:A chain spirit gains bonus hit points equal to its Charisma modifier times its Hit Dice, and a bonus to its Fortitude saves equal to its Charisma modifier.														SOURCEPAGE:p. 79

###Block: Danse Macabre
# Ability Name			Output Name					Category of Ability		Type								Visible		Description																														Source Page
Constitution Drain		OUTPUTNAME:Constitution Drain (Su)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:Living creatures hit by a danse macabre’s incorporeal scythe attack must succeed on a DC 23 Fortitude save or take 1d8 points of Constitution drain.		SOURCEPAGE:p. 80
Dance of Death			OUTPUTNAME:Dance of Death (Su)	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:A danse macabre is constantly surrounded by a 40-foot aura known as the dance of death, an endless gala of dancing spectral figures.					SOURCEPAGE:p. 80
Deathless				OUTPUTNAME:Deathless (Su)		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary		VISIBLE:YES	DESC:As a manifestation of Death incarnate, a danse macabre is not itself subject to permanent destruction.											SOURCEPAGE:p. 81
