# Class Name	Hit Dice	Type			Abbreviation	Max Level	Source Page		Save checks bonus											Combat bonus
CLASS:Harrower	HD:6		TYPE:PC.Prestige	ABB:Haro		MAXLEVEL:10	SOURCEPAGE:p.224	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:CHECKS|BASE.Fortitude,BASE.Reflex|CL/3	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE
# Class Name	Restricted AL	Required Spell School		Req. Spell Type				Required Text
CLASS:Harrower	!PREALIGN:TN	PRESPELLSCHOOL:3,Divination=0	PRESPELLTYPE:1,Arcane=3,Divine=3	PRETEXT:Must own a Harrow deck	PRESKILL:1,Knowledge (Arcana)=5,Knowledge (Religion)=5	PRESKILL:1,TYPE.Perform=5
# Class Name	Skill Pts/Lvl
CLASS:Harrower	STARTSKILLPTS:2	CSKILL:Bluff|TYPE=Craft|Diplomacy|Knowledge (Arcana)|Knowledge (Local)|Knowledge (Planes)|Knowledge (Religion)|TYPE=Perform|TYPE=Profession|Spellcraft|Use Magic Device
###Block: Ability Progression
1	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Blessing of the Harrow
2	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Harrow Casting|Tower of Intelligence
3	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Tower of Strength
4	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Tower of Charisma
5	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Spirit Deck
6	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Harrower Divination
7	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Tower of Constitution
8	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Tower of Dexterity
9	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Tower of Wisdom
10	ADD:SPELLCASTER|ANY	ABILITY:Special Ability|AUTOMATIC|Reading the Signs

