# CVS $Revision: 12254 $ $Author: eddyanthony $ -- Mon Apr 11 11:19:21 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Inner Sea World Guide	SOURCESHORT:ISWG	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderChronicles/v5748btpy8ief	SOURCEDATE:2011-03

###Block: Modern Human Languages
# Language		Type					Source Page
Hallit		TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Kelish		TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Osiriani		TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Polyglot		TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Shadowtongue	TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Shoanti		TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Skald			TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Tien			TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Varisian		TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Vudrani		TYPE:Spoken.Written.Read	SOURCEPAGE:p.251

###Block: Ancient Languages
# Language		Type			Source Page
Ancient Osiriani	TYPE:Read.Written	SOURCEPAGE:p.251
Azlanti		TYPE:Read.Written	SOURCEPAGE:p.251
Cyclops		TYPE:Read.Written	SOURCEPAGE:p.251
Jistka		TYPE:Read.Written	SOURCEPAGE:p.251
Tekritanin		TYPE:Read.Written	SOURCEPAGE:p.251
Thassionian		TYPE:Read.Written	SOURCEPAGE:p.251

###Block: Other Languages
# Language	Type					Source Page
Necril	TYPE:Spoken.Written.Read	SOURCEPAGE:p.251
Orvian	TYPE:Spoken.Written.Read	SOURCEPAGE:p.251

#
# End
#
