#Author: Gerard van Konijnenburg
# -- Mon Mar 14 2011
SOURCELONG:Dwarves of Golarion
SOURCESHORT:DoG
SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderCompanion/v5748btpy8b9j
SOURCEDATE:2009-12
# Deity Name	Product Identity?	Race			Domains												Desciption of Deity/Title							Deity Weapon				Alignment	Pantheon						Source Page
Angradd		NAMEISPI:YES		RACE:Dwarf	DOMAINS:Fire,Good,Law,War|PREALIGN:LG,LN,NG						DESC:God of aggressive tactics and warfare				DEITYWEAP:Greataxe			ALIGN:LG	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
Bolka			NAMEISPI:YES		RACE:Dwarf	DOMAINS:Charm,Good,Healing|PREALIGN:LG,NG,TN						DESC:Goddess									DEITYWEAP:Mace (Light)|Mace (Heavy)	ALIGN:NG	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
Dranngvit		NAMEISPI:YES		RACE:Dwarf	DOMAINS:Knowledge,Law|PREALIGN:LG,LN,LE,TN						DESC:tbd										DEITYWEAP:Pick (Light)			ALIGN:LN	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
Droskar		NAMEISPI:YES		RACE:Dwarf	DOMAINS:Artifice,Charm,Darkness,Evil,Trickery|PREALIGN:TN,LE,NE,CE		DESC:tbd										DEITYWEAP:Hammer (Light)		ALIGN:NE	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
Folgrit		NAMEISPI:YES		RACE:Dwarf	DOMAINS:Community,Law,Nobility|PREALIGN:LG,LN,NG					DESC:Goddess of motherhood, wives, and children				DEITYWEAP:Quarterstaff			ALIGN:LG	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
Grundinnar		NAMEISPI:YES		RACE:Dwarf	DOMAINS:Community,Good,Law|PREALIGN:LG,LN,NG						DESC:tbd										DEITYWEAP:Warhammer			ALIGN:LG	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
Kols			NAMEISPI:YES		RACE:Dwarf	DOMAINS:Law,Nobility|PREALIGN:LG,LN,LE,TN							DESC:tbd										DEITYWEAP:Warhammer			ALIGN:LN	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
Magrim		NAMEISPI:YES		RACE:Dwarf	DOMAINS:Law,Repose,Rune|PREALIGN:LG,LN,LE,TN						DESC:tbd										DEITYWEAP:Warhammer			ALIGN:LN	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
Torag.MOD		NAMEISPI:YES		RACE:Dwarf	DOMAINS:Artifice,Earth,Good,Law,Protection|PREALIGN:LG,LN,NG			DESC:Tbd										DEITYWEAP:Warhammer			ALIGN:LG	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
Trudd			NAMEISPI:YES		RACE:Dwarf	DOMAINS:Good,Strength|PREALIGN:LG,NG,TN,CG						DESC:God of strenght								DEITYWEAP:Warhammer			ALIGN:NG	PANTHEON:Pathfinder Chronicles|Dwarven	SOURCEPAGE:Inside Cover
#
# End
#
