# CVS $Revision: 12254 $ $Author: jbaril $ -- Tue May 15 14:56:19 2012 -- reformated by prettylst.pl v1.39 (build 16265)
SOURCELONG:Adventurer's Armory	SOURCESHORT:PFAA	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderCompanion/v5748btpy8dmf	SOURCEDATE:2009-06

# Weapon Name		Type

# Weapon Name	Type
Hanbo			TYPE:Simple.Melee
Mere Club		TYPE:Simple.Melee

Scizone		TYPE:Martial.Melee
Switchblade Knife	TYPE:Martial.Melee
Terbutje		TYPE:Martial.Melee
Blade Boot		TYPE:Martial.Melee
Combat Scabbard	TYPE:Martial.Melee
#Dogslicer			TYPE:Martial.Melee
#War Razor			TYPE:Martial.Melee
#Klar						TYPE:Martial.Melee
#Earth Breaker		TYPE:Martial.Melee
#Horsechopper		TYPE:Martial.Melee
#Ogre Hook				TYPE:Martial.Melee

Maulaxe		TYPE:Exotic.Melee.Thrown
Pata			TYPE:Exotic.Melee
#Sawtooth Sabre			TYPE:Exotic.Melee
Chain Spear		TYPE:Exotic.Melee
#Aldori Dueling Sword	TYPE:Exotic.Melee
#Urumi									TYPE:Exotic.Melee
#Bladed Scarf					TYPE:Exotic.Melee
Shoanti Bola	TYPE:Exotic.Ranged

#
# End
#
