# CVS $Revision: 12254 $ $Author: eddyanthony $ -- Wed Nov 17 11:49:58 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Inner Sea Primer	SOURCESHORT:ISP	SOURCEWEB:http://paizo.com/store/byCompany/p/paizoPublishingLLC/pathfinder/companion/pathfinderRPG/v5748btpy8hih	SOURCEDATE:2010-11
# Original Entry by:Stefan Radermacher

###Block: Human Ethnicities
# Template Name			Visible	Source Page		Bonus to Ability Pool			Subrace
Human Ethnicity			VISIBLE:NO				BONUS:ABILITYPOOL|Human Ethnicity|1
Human Ethnicity (Azlanti)	VISIBLE:NO	SOURCEPAGE:p.30							SUBRACE:Azlanti
Human Ethnicity (Chelaxian)	VISIBLE:NO	SOURCEPAGE:p.30							SUBRACE:Chelaxian
Human Ethnicity (Garundi)	VISIBLE:NO	SOURCEPAGE:p.30							SUBRACE:Garundi
Human Ethnicity (Keleshite)	VISIBLE:NO	SOURCEPAGE:p.30							SUBRACE:Keleshite
Human Ethnicity (Kellid)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Kellid
Human Ethnicity (Mwangi)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Mwangi
Human Ethnicity (Shoanti)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Shoanti
Human Ethnicity (Taldan)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Taldan
Human Ethnicity (Tian)		VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Tian
Human Ethnicity (Ulfen)		VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Ulfen
Human Ethnicity (Varisian)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Varisian
Human Ethnicity (Vudrani)	VISIBLE:NO	SOURCEPAGE:p.31							SUBRACE:Vudrani

###Block: Regional Affinities
# Template Name					Visible	Source Page		Bonus Languages					Region
Regional Affinity (Absalom)			VISIBLE:NO	SOURCEPAGE:p.4	LANGBONUS:Kelish,Osiriani			REGION:Absalom
Regional Affinity (Andoran)			VISIBLE:NO	SOURCEPAGE:p.4								REGION:Andoran
Regional Affinity (Belkzen)			VISIBLE:NO	SOURCEPAGE:p.5	LANGBONUS:Orc					REGION:Belkzen
Regional Affinity (Brevoy)			VISIBLE:NO	SOURCEPAGE:p.5	LANGBONUS:Draconic,Hallit,Skald,Varisian	REGION:Brevoy
Regional Affinity (Cheliax)			VISIBLE:NO	SOURCEPAGE:p.6	LANGBONUS:Infernal				REGION:Cheliax
Regional Affinity (Druma)			VISIBLE:NO	SOURCEPAGE:p.6	LANGBONUS:Dwarven					REGION:Druma
Regional Affinity (Five Kings Mountains)	VISIBLE:NO	SOURCEPAGE:p.7	LANGBONUS:Dwarven					REGION:Five Kings Mountains
Regional Affinity (Galt)			VISIBLE:NO	SOURCEPAGE:p.7	LANGBONUS:Hallit					REGION:Galt
Regional Affinity (Geb)				VISIBLE:NO	SOURCEPAGE:p.8	LANGBONUS:Kelish,Osiriani			REGION:Geb
Regional Affinity (Irrisen)			VISIBLE:NO	SOURCEPAGE:p.8	LANGBONUS:Hallit,Skald				REGION:Irrisen
Regional Affinity (Isger)			VISIBLE:NO	SOURCEPAGE:p.9								REGION:Isger
Regional Affinity (Jalmeray)			VISIBLE:NO	SOURCEPAGE:p.9	LANGBONUS:Vudrani					REGION:Jalmeray
Regional Affinity (Katapesh)			VISIBLE:NO	SOURCEPAGE:p.10	LANGBONUS:Kelish,Osiriani,Tien,Vudrani	REGION:Katapesh
Regional Affinity (Kyonin)			VISIBLE:NO	SOURCEPAGE:p.10	LANGBONUS:Elven					REGION:Kyonin
Regional Affinity (Lastwall)			VISIBLE:NO	SOURCEPAGE:p.11	LANGBONUS:Varisian				REGION:Lastwall
