# CVS $Revision$ $Author$ -- Thu Feb 18 13:10:46 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Pathfinder Chronicles: Campaign Setting	SOURCESHORT:PFCS	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderChronicles/35E/v5748btpy84eo&source=search	SOURCEDATE:2008-08

# Feat Name				Required Feat									Required Skill
Arcane Vendetta.MOD													PRESKILL:1,Spellcraft=1
Crossbow Mastery.MOD		PREFEAT:3,Point-Blank Shot,Rapid Reload,Rapid Shot
Enforcer.MOD														PRESKILL:1,Intimidate=1
Focused Shot.MOD			PREFEAT:2,Point-Blank Shot,Precise Shot
Hamatulatsu.MOD														PRESKILL:1,Intimidate=2
Massed charge.MOD														PRESKILL:2,Handle Animal=1,Ride=6
Parting Shot.MOD			PREFEAT:4,Dodge,Mobility,Point-Blank Shot,Shot on the Run
Profits of Kalistrade.MOD												PRESKILL:1,Diplomacy=1
Sniper Shot.MOD			PREFEAT:4,Far Shot,Focused Shot,Point-Blank Shot,Precise Shot
Storm-Lashed.MOD														PRESKILL:1,Profession (Sailor)=1

###Block: General Feats
# Feat Name			Required Ability						Required Feat		Required Skill					Allowed Companions
Harmonic Spell.MOD													PRESKILL:1,TYPE.Perform=5
One Finger.MOD		PREABILITY:1,CATEGORY=Special Ability,Ki Pool
Spirit Strike.MOD										PREFEAT:1,Turn Undead	PRESKILL:1,Knowledge (Religion)=2
Vermin Companion.MOD																				COMPANIONLIST:Animal Companion|RACETYPE=VerminCompanion
Wand Dancer.MOD														PRESKILL:2,Perform (Dance)=1,Acrobatics=1

#
# End
#
