SOURCELONG:Seekers of Secrets	SOURCESHORT:SOS	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderChronicles/pathfinderRPG/v5748btpy8az2	SOURCEDATE:2009-10
# Original Entry by: Paul Shipley

#BLOCK: Pathfinder Delver Special Abilities
Bardic Knowledge		KEY:Bardic Knowledge ~ Pathfinder Delver		CATEGORY:Special Ability	DESC:Bardic Knowledge
Fortunate Soul		KEY:Fortunate Soul ~ Pathfinder Delver		CATEGORY:Special Ability	DESC:Fortunate Soul
Guardbreaker		KEY:Guardbreaker ~ Pathfinder Delver		CATEGORY:Special Ability	DESC:Guardbreaker
Left for Dead		KEY:Left for Dead ~ Pathfinder Delver		CATEGORY:Special Ability	DESC:Left for Dead
Master Explorer		KEY:Master Explorer ~ Pathfinder Delver		CATEGORY:Special Ability	DESC:Master Explorer
Nick of Time		KEY:Nick of Time ~ Pathfinder Delver		CATEGORY:Special Ability	DESC:Nick of Time
Resourceful Disabler	KEY:Resourceful Disabler ~ Pathfinder Delver	CATEGORY:Special Ability	DESC:Resourceful Disabler
Surefooted			KEY:Surefooted ~ Pathfinder Delver			CATEGORY:Special Ability	DESC:Surefooted
Thrilling Escape		KEY:Thrilling Escape ~ Pathfinder Delver		CATEGORY:Special Ability	DESC:Thrilling Escape
Trap Sense			KEY:Trap Sense ~ Pathfinder Delver			CATEGORY:Special Ability	DESC:Trap Sense
Vigilant Combatant	KEY:Vigilant Combatant ~ Pathfinder Delver	CATEGORY:Special Ability	DESC:Vigilant Combatant
