# All Material Used from this Web Site - http://www.d20pfsrd.com/
# ORIGINAL ENTRY: Andrew Maitland (LegacyKing)
# ORIGINAL ENTRY DATE: 2012-02-03

# Dummy Proficiency to Trigger granting all Firearms Profs
Firearms		TYPE:Exotic

#-(Early) One-Handed Firearms
Bukler Gun					TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Pepperbox					TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Pistol					TYPE:Exotic.Firearm
Pistol (Coat)				TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Pistol (Dagger)				TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Pistol (Double-Barreled)		TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Pistol (Dragon/Pellet)			TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Pistol (Drago/Bulletn)			TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol

Pistol (Sword Cane)			TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol

# Early Two-Handed Firearms
Blunderbuss				TYPE:Exotic.Firearm
Culverin				TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Double Hackbut			TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Fire Lance				TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Musket				TYPE:Exotic.Firearm
Musket (Axe)			TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Musket (Double-Barreled)	TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol
Musket (Warhammer)		TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Pistol

###Block: Advanced Firearms
# One-Handed
Revolver					TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Revolver	

# Two-Handed
Rifle							TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Rifle	
Shotgun						TYPE:Weapon.Exotic.Ranged.Standard.Piercing.Bludgeoning.Container.Projectile.Firearm.Shotgun.Scatter



# NOTE: Expanded Weapon Groups p.45



# IN PROGRESS

#	COST:	DAMAGE:	CRITRANGE:	CRITMULT:x2		WT:	TYPE:

###Block: Eastern Weapons - Martial
# Light
Butterfly Sword				TYPE:Weapon.Melee.Martial.Monk
Iron Brush					TYPE:Weapon.Melee.Martial
Jutte						TYPE:Weapon.Melee.Martial.Disarm.Monk
Kerambit					TYPE:Weapon.Melee.Martial
Lungchuan Tamo				TYPE:Weapon.Melee.Martial.Monk
Shang Gou					TYPE:Weapon.Melee.Martial.Disarm.Trip.Monk
Tonfa						TYPE:Weapon.Melee.Martial.Blocking.Monk
Wushu Dart					TYPE:Weapon.Melee.Martial.Monk

# One-Handed Melee Weapons
Broadsword (Nine Ring)			TYPE:Weapon.Melee.Martial.Monk
Double Chicken Saber			TYPE:Weapon.Melee.Martial.Disarm.Monk
Sibat						TYPE:Weapon.Melee.Martial

# Two-Handed Melee Weapons
Hooked Lance				TYPE:Weapon.Melee.Martial.Reach.Trip
Monk's Spade				TYPE:Weapon.Melee.Martial.Double.Monk
Naginata					TYPE:Weapon.Melee.Martial.Reach
Nodachi					TYPE:Weapon.Melee.Martial.Brace
Sansetsukon					TYPE:Weapon.Melee.Martial.Blocking.Disarm.Monk
Sword (Tri-Point Double-Edged)	TYPE:Weapon.Melee.Martial.Reach
Tiger Fork					TYPE:Weapon.Melee.Martial.Brace.Monk






# Ranged Weapons
Tube Arrow Shooter			TYPE:Weapon.Ranged.Martial
Poisoned Sand Tube			TYPE:Weapon.Ranged.Martial



###Block: Eastern Weapons - Exotic
# Light
Dan Bong				TYPE:Weapon.Melee.Exotic.Bludgeoning.Blocking.Monk.Ranged.Thrown
Emei Piercer			TYPE:Weapon.Melee.Exotic.Piercing.Monk
Fighting Fan			TYPE:Weapon.Melee.Exotic.Slashing.Piercing.Distracting.Monk
Tekko-Kagi (Iron Claw)		TYPE:Weapon.Melee.Exotic.Piercing.Disarm
Wakizashi				TYPE:Weapon.Melee.Exotic.Piercing.Slashing.Deadly
# One-Handed
Katana				TYPE:Weapon.Melee.Exotic.Slashing.Deadly
Nine-Section Whip			TYPE:Weapon.Melee.Exotic.Bludgeoning.Blocking.Distracting.Monk.Trip
Urumi					TYPE:Weapon.Melee.Exotic.Slashing.Distracting

# Two-Handed
Bo Staff				TYPE:Weapon.Melee.Exotic.Bludgeoning.Blocking.Double.Monk
Kama (Double-Chained)		TYPE:Weapon.Melee.Exotic.Slashing.Double.Monk.Reach.Trip			
Katana (Double Walking Stick)	TYPE:Weapon.Melee.Exotic.Bludgeoning.Double					
Kusarigama (Sickle and Chain)	TYPE:Weapon.Melee.Exotic.Slashing.Bludgeoning.Double.Monk.Reach.Trip.Grapple
Kyoketsu Shoge			TYPE:Weapon.Melee.Exotic.Slashing.Piercing.Disarm.Grapple.Monk.Reach.Ranged.Thrown
Meteor Hammer			TYPE:Weapon.Melee.Exotic.Bludgeoning.Reach.Trip
Sword (Seven-Branched)		TYPE:Weapon.Melee.Exotic.Slashing.Disarm.Monk
Tetsubo				TYPE:Weapon.Melee.Exotic.Bludgeoning


# Ranged
Rope Dart				TYPE:Weapon.Ranged.Exotic.Piercing.Blocking.Distracting.Monk


# Samurai Weapons
Katana.MOD		TYPE:Samurai.HeavyBlade
Naginata.MOD	TYPE:Samurai.Polearm
Wakizashi.MOD	TYPE:Samurai.LightBlade


###Block: Gladiator Weapons
# Martial Weapons

# Light
Gladius			TYPE:Weapon.Melee.Martial.Piercing.Performance

# One-Handed
Scizore			TYPE:Weapon.Melee.Martial.Piercing.Performance

# Ranged Weapons
Amentum (Javelin)		TYPE:Weapon.Melee.Martial.Piercing.Performance.Thrown.Ranged



# EXOTIC WEAPONS
# Light
Aklys				TYPE:Weapon.Melee.Exotic.Bludgeoning.Ranged.Thrown.Performance.Trip
Knuckle Axe			TYPE:Weapon.Melee.Exotic.Slashing.Performance.Monk
Madu				TYPE:Weapon.Melee.Exotic.Piercing.Performance
Pata				TYPE:Weapon.Melee.Exotic.Piercing.Performance
Quadrens			TYPE:Weapon.Melee.Exotic.Piercing.Performance
Scorpion Whip		TYPE:Weapon.Melee.Exotic.Slashing.Performance
Sica				TYPE:Weapon.Melee.Exotic.Slashing.Performance

# One-Handed
Hooked Axe			TYPE:Weapon.Melee.Exotic.Slashing.Performance.Disarm.Trip
Shotel			TYPE:Weapon.Melee.Exotic.Piercing.Performance
# Two-Handed
Flying Blade		TYPE:Weapon.Melee.Exotic.Slashing.Performance.Reach
# RANGED
Throwing Shield		TYPE:Weapon.Melee.Ranged.Thrown.Exotic.Bludgeoning.Performance.Trip

