# CVS $Revision: $ $Author: $ -- Sun Mar 23 02:20:06 2008 -- reformated by prettylst.pl v1.38 (build 5580)
SOURCELONG:Forged in Magic	SOURCESHORT:FiM	SOURCEWEB:http://www.paradigmconcepts.com
#Original Entry:E. C. Smith (Maredudd) 2007; Andrew Maitland

#Wondrous Items
# Equipment Name					Type		Cost
Amulet of Belisarda's Fury			TYPE:x	COST:98040
Amulet of Hurrian					TYPE:x	COST:12000
Amulet of Illiir's Perfect Brilliance	TYPE:x	COST:39500
Amulet of the Faithful				TYPE:x	COST:17500
Anklet of the Harlot				TYPE:x	COST:9650
Apron of the Artificer				TYPE:x	COST:16400
Armbands of Blade Turning			TYPE:x	COST:22580
Armguard of Talisos				TYPE:x	COST:44200
Aro's Unforgettable Mark			TYPE:x	COST:4000

###Block: B ---------------------------------------------------------------------------------------------------
# Equipment Name					Type		Cost
Badua's Eerie Warder				TYPE:x	COST:32000
Bellahna's Veil of Persuasion			TYPE:x	COST:20000
Belt of the Shield				TYPE:x	COST:22000
Black Lotus Manual				TYPE:x	COST:27500
Blood Robe						TYPE:x	COST:25000
Bones of Divination				TYPE:x	COST:12050
Boots of Balance					TYPE:x	COST:10000
Boots of Knocking					TYPE:x	COST:10500
Boots of the Relentless Hunter		TYPE:x	COST:3500
Boots of the Seremasi Greater			TYPE:x	COST:10000
Boots of the Toad					TYPE:x	COST:12000
Box of the Mundane				TYPE:x	COST:65000
Bracers of Arcane Wrath				TYPE:x	COST:9450
Bracers of Arrow Deflection			TYPE:x	COST:14000
Bracers of Arrow Deflection Greater		TYPE:x	COST:54400
Bracers of Obfuscation				TYPE:x	COST:44950
Bracers of Reverberation			TYPE:x	COST:20160
Bracers of Shattering Silence			TYPE:x	COST:30160
Bracers of Shattering Silence Greater	TYPE:x	COST:123550
Bracers of Spell Deflection			TYPE:x	COST:75000
Bracers of the Thunderer			TYPE:x	COST:50400
Bracers of Yeomanry				TYPE:x	COST:7000
Bracers of Yeomanry Greater			TYPE:x	COST:22000
Brigade Bucket					TYPE:x	COST:900
Brooch of the Golden Boughs' of Saluwe	TYPE:x	COST:13640

###Block: C -------------------------------------------------------------------------------------------
# Equipment Name				Type		Cost
Candle of Revealing Presence		TYPE:x	COST:364000
Cape of Glory				TYPE:x	COST:18000
Cape of the Feline Form			TYPE:x	COST:8750
Cat's Cloak					TYPE:x	COST:51300
Cauldron of Combining			TYPE:x	COST:200000
Censor of the Raven			TYPE:x	COST:5000
Circlet of Darkness			TYPE:x	COST:10080
Circlet of Sagacity			TYPE:x	COST:12000
Cloak of the Green Lurker		TYPE:x	COST:21000
Cloak of the Invincible Warrior	TYPE:x	COST:22500
Clock of Chaos Confinement		TYPE:x	COST:365000
Cloud Cape					TYPE:x	COST:26200
Collar of Kinship				TYPE:x	COST:18750
Collar of Submission			TYPE:x	COST:106200
Corsair's Cloak				TYPE:x	COST:16500
Corsair's Cloak Greater			TYPE:x	COST:96000
Corsair's Cloak Improved		TYPE:x	COST:44500
Cosmetics of Comeliness			TYPE:x	COST:3300
Cramor's Catalogue of Creatures	TYPE:x	COST:306000
Crotalus Gauntlet				TYPE:x	COST:251100
Crown of Darkness				TYPE:x	COST:17640
Cup of the Mendicant			TYPE:x	COST:2700


###Block: D --------------------------------------------------------------------------------------------
# Equipment Name				Type		Cost
Decanter of Copious Libations		TYPE:x	COST:20000
Demon-Hide Cloak				TYPE:x	COST:176000
Devilskin Knot				TYPE:x	COST:72000
Diadem of the Mental Clarity +1	TYPE:x	COST:667
Diadem of the Mental Clarity +2	TYPE:x	COST:2667
Diadem of the Mental Clarity +3	TYPE:x	COST:6000
Diadem of the Mental Clarity +4	TYPE:x	COST:10667
Diadem of the Mental Clarity +5	TYPE:x	COST:16667
Dimitri's Dimensional Doorknob	TYPE:x	COST:45000
Doom Bell of Canceri			TYPE:x	COST:55080
Dust of Ephemeral Allies		TYPE:x	COST:2250
Dust of Mirages				TYPE:x	COST:9000
Dust of Shrinking and Enlargement	TYPE:x	COST:1000
Dust of Warding				TYPE:x	COST:9000

###Block: E & F -------------------------------------------------------------------------------------------
# Equipment Name						Type		Cost
Earring of Perception					TYPE:x	COST:2500
Eelskin Cloak						TYPE:x	COST:54120
Eelskin Cloak Lesser					TYPE:x	COST:15060
Eloisa's Dancing Shoes					TYPE:x	COST:7500
Everburning Coal						TYPE:x	COST:5000
Eyepatch of the Corsair					TYPE:x	COST:100700
Eyes of Arcane Sight					TYPE:x	COST:16200
