SOURCELONG:Ultimate Psionics	SOURCESHORT:UP	SOURCEWEB:http://dreamscarredpress.com/dragonfly/Store/product/pid=126.html	SOURCEDATE:2013-12
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2013/07/05

# TODO:
#   Change source line

###Block: Marksman bonus feats
# Feat Name					Type
Deadly Aim.MOD				TYPE:MarksmanBonus
Far Shot.MOD				TYPE:MarksmanBonus
Precise Shot.MOD				TYPE:MarksmanBonus
Quick Draw.MOD				TYPE:MarksmanBonus
Weapon Focus.MOD				TYPE:MarksmanBonus
Improved Critical.MOD			TYPE:MarksmanBonus
Exotic Weapon Proficiency.MOD		TYPE:MarksmanBonus
Rapid Reload.MOD				TYPE:MarksmanBonus
Greater Weapon Focus.MOD		TYPE:MarksmanBonus
Weapon Specialization.MOD		TYPE:MarksmanBonus
Greater Weapon Specialization.MOD	TYPE:MarksmanBonus
Shot on the Run.MOD			TYPE:FinesseMarksmanBonus
Throw Anything.MOD			TYPE:FinesseMarksmanBonus
Greater Vital Strike.MOD		TYPE:SniperMarksmanBonus
Improved Precise Shot.MOD		TYPE:SniperMarksmanBonus
Improved Vital Strike.MOD		TYPE:SniperMarksmanBonus
Pinpoint Targeting.MOD			TYPE:SniperMarksmanBonus
Vital Strike.MOD				TYPE:SniperMarksmanBonus
Manyshot.MOD				TYPE:VolleyMarksmanBonus
Rapid Shot.MOD				TYPE:VolleyMarksmanBonus

###Block: Vitalist bonus feat
# Feat Name			Type
Leadership.MOD						!PREABILITY:1,CATEGORY=Special Ability,Thrallherd

###Block: Psychic Bloodline bonus feats
Blind-Fight.MOD	TYPE:PsychicBloodline
Combat Casting.MOD	TYPE:PsychicBloodline
Combat Expertise.MOD	TYPE:PsychicBloodline
Iron Will.MOD	TYPE:PsychicBloodline
Quicken Spell.MOD	TYPE:PsychicBloodline
Silent Spell.MOD	TYPE:PsychicBloodline
Spell Penetration.MOD	TYPE:PsychicBloodline
Still Spell.MOD	TYPE:PsychicBloodline
Unlocked Talent.MOD	TYPE:PsychicBloodline


#
# End
#
