# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2013/07/05

###Block: Bonus Feat ability pools
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object						Plural description for UI		Display Location
ABILITYCATEGORY:Naturally Psionic Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:NaturallyPsionicFeat				PLURAL:Naturally Psionic Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Bonus Psionic Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic														PLURAL:Bonus Psionic Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psion Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic.Metapsionic.ItemCreation		PLURAL:Psion Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Generalist Psion Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Metapsionic.ItemCreation.ExpandedKnowledge	PLURAL:Generalist Psion Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psychic Warrior Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic.Combat					PLURAL:Psychic Warrior Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Soulknife Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SoulknifeFeat					PLURAL:Soulknife Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Artificer's Surge Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:ItemCreation						PLURAL:Artificer's Surge Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Student's Surge Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:StudentSurge						PLURAL:Student's Surge Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psychic Fist Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic						PLURAL:Psychic Fist Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Master Craftsman Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT										ABILITYLIST:Master Craftsman					PLURAL:Master Craftsman Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Dread Bonus Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:DreadBonusFeat													PLURAL:Dread Bonus Feats			DISPLAYLOCATION:Feats
