# CVS $Revision: 12254 $ $Author: eddyanthony $ -- Fri Mar 22 06:40:14 2013 -- reformated by prettylst.pl v1.50 (build 19091)
#SOURCELONG:Inner Sea Magic	SOURCESHORT:ISM	SOURCEWEB:http://paizo.com/products/btpy8mfs?Pathfinder-Campaign-Setting-Inner-Sea-Magic	SOURCEDATE:2011-07
# Original Entry by:Stefan Radermacher

###Block: Feat Support Abilities
# Ability Category							Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI					Display Location
ABILITYCATEGORY:Tattooed Sorcerer Varisian Tattoo Choice	VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TattooedSorcererVarisianTattoo	PLURAL:Tattooed Sorcerer Varisian Tattoo Choices	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Hidden Priest Arcane Magic Choice	VISIBLE:QUALIFY	EDITABLE:YES			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:HiddenPriestArcaneMagic	PLURAL:Hidden Priest Arcane Magic Choices	DISPLAYLOCATION:Archetype

###Block: Magic Schools
# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI			Display Location
ABILITYCATEGORY:Magic Schools Choice			VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MagicSchool				PLURAL:Magic School Choices			DISPLAYLOCATION:Background

ABILITYCATEGORY:Magic School Reward				VISIBLE:YES		EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MagicSchoolReward			PLURAL:Magic School Rewards			DISPLAYLOCATION:Background

ABILITYCATEGORY:Acadamae Reward				VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AcadamaeReward			PLURAL:Acadamae Rewards				DISPLAYLOCATION:Background
ABILITYCATEGORY:Arcanamirium Reward				VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArcanamiriumReward			PLURAL:Arcanamirium Rewards			DISPLAYLOCATION:Background
ABILITYCATEGORY:Magaambya Reward				VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MagaambyaReward			PLURAL:Magaambya Rewards			DISPLAYLOCATION:Background
ABILITYCATEGORY:Kintargo Opera House Reward		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:KintargoOperaHouseReward		PLURAL:Kintargo Opera House Rewards		DISPLAYLOCATION:Background
ABILITYCATEGORY:Oenopion Fleshforges Reward		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:OenopionFleshforgesReward	PLURAL:Oenopion Fleshforges Rewards		DISPLAYLOCATION:Background
ABILITYCATEGORY:Poisioners Guild Reward			VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:PoisionersGuildReward		PLURAL:Poisioners Guild Rewards		DISPLAYLOCATION:Background
ABILITYCATEGORY:White Grotto Reward				VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:WhiteGrottoReward			PLURAL:White Grotto Rewards			DISPLAYLOCATION:Background
ABILITYCATEGORY:Monastery Reward				VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MonasteryReward			PLURAL:Monastery Rewards			DISPLAYLOCATION:Background
ABILITYCATEGORY:Citadel Enferac Reward			VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CitadelEnferacReward		PLURAL:Citadel Enferac Rewards		DISPLAYLOCATION:Background
ABILITYCATEGORY:The Harrowed Society Reward		VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TheHarrowedSocietyReward		PLURAL:The Harrowed Society Rewards		DISPLAYLOCATION:Background
ABILITYCATEGORY:Crimson Citadel Reward			VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:CrimsonCitadelReward		PLURAL:Crimson Citadel Rewards		DISPLAYLOCATION:Background

#
# End
#
