SOURCELONG:Pathfinder Society Field Guide	SOURCESHORT:PFSFG	SOURCEWEB:http://paizo.com/pathfinderSociety/scenarios/v5748btpy84k4	SOURCEDATE:2011-08
# Original Entry by: Mark Means

###Block: Society Factions
# Ability Name								Unique Key						Product Identity?	Category of Ability		Type						Visible		Required Class			Multiple Requirements																																Description																																																																																			Stackable?	Multiple?	Choose											Automatically Gained Weapon Prof.	Save checks bonus				Bonus to skill																Class Skill				Source Page
#Andoran Faction															NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12
#Cheliax Faction															NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12
#Grand Lodge Faction														NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12
#Lantern Lodge Faction														NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12
#Osirion Faction															NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12
#Qadira Faction															NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12
#Sczarni Faction															NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12
#Shadow Lodge Faction														NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12
#Silver Crusade Faction													NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12
#Taldor Faction															NAMEISPI:YES	CATEGORY:Background		TYPE:Society Faction			VISIBLE:DISPLAY																																																																																																																																																																																SOURCEPAGE:p.12

#Prestige Points	SORTKEY:z_prestige	CATEGORY:Special Ability	TYPE:SpecialQuality	ASPECT:Prestige Points Spent|%1|PrestigePointsSpent	DESC:Prestige Points Spent = %1|PrestigePointsSpent

#CATEGORY:Internal|Default.MOD DEFINE:PrestigePointsSpent|0	ABILITY:Special Ability|AUTOMATIC|Prestige Points|PREVARGTEQ:PrestigePointsSpent,1


###Block: Equipment Tricks
# Ability Name		Unique Key						Category of Ability		Type						Ability
Rope				KEY:Rope ~ Equipment Trick			CATEGORY:Special Ability	TYPE:Internal.EquipmentTrick			ABILITY:Special Ability|AUTOMATIC|Coil ~ Rope Trick|PRESKILL:1,Sleight of Hand=5			ABILITY:Special Ability|AUTOMATIC|Hogtie ~ Rope Trick|PREFEAT:1,Improved Grapple			ABILITY:Special Ability|AUTOMATIC|Knotted Weapon ~ Rope Trick|PREWEAPONPROF:1,Chain (Spiked)			ABILITY:Special Ability|AUTOMATIC|Last ~ Rope Trick|PREWEAPONPROF:1,Whip			ABILITY:Special Ability|AUTOMATIC|Lifeline ~ Rope Trick|PRESKILL:1,Climb=5			ABILITY:Special Ability|AUTOMATIC|Quick Release ~ Rope Trick			ABILITY:Special Ability|AUTOMATIC|Slip Away ~ Rope Trick|PRESKILL:1,Escape Artist=5			ABILITY:Special Ability|AUTOMATIC|Tangle ~ Rope Trick|PREFEAT:1,Throw Anything
Sunrod			KEY:Sunrod ~ Equipment Trick		CATEGORY:Special Ability	TYPE:Internal.EquipmentTrick			ABILITY:Special Ability|AUTOMATIC|Flare ~ Sunrod Trick|PREMULT:1,[PRESKILL:1,Sleight of Hand=5],[PREABILITY:1,Bomb ~ Alchemist]			ABILITY:Special Ability|AUTOMATIC|Fast Sunrod ~ Sunrod Trick|PREFEAT:1,Quick Draw			ABILITY:Special Ability|AUTOMATIC|Like the Sun ~ Sunrod Trick|PRESPELLDESCRIPTOR:1,Light=0			ABILITY:Special Ability|AUTOMATIC|Lodge Sunrod ~ Sunrod Trick|PREFEAT:1,Throw Anything			ABILITY:Special Ability|AUTOMATIC|Lure ~ Sunrod Trick|PRESKILL:1,Handle Animal=5			ABILITY:Special Ability|AUTOMATIC|Twice as Brightly ~ Sunrod Trick|PRESKILL:1,Craft (Alchemy)=5

###Block: Rope Tricks
# Ability Name		Unique Key						Category of Ability		Type						Description																																																																														Source Page
Coil				KEY:Coil ~ Rope Trick				CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:You can coil rope rapidly, requiring only 1 round to coil 20 feet of rope. (Coiling 20 feet of rope normally takes 1d6 rounds.)																																																																SOURCEPAGE:p.49
Hogtie			KEY:Hogtie ~ Rope Trick			CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:When you attempt to tie up an opponent you are grappling, your penalty is only 5 instead of the normal 10.																																																														SOURCEPAGE:p.49
Knotted Weapon		KEY:Knotted Weapon ~ Rope Trick		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:You can use a knotted length of rope as a spiked chain that inflicts bludgeoning damage instead of piercing damage.																																																											SOURCEPAGE:p.49
Last				KEY:Last ~ Rope Trick				CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:You can use a length of rope as a whip at no penalty. The piece of rope that is used as a whip must be 10 feet longlength in excess of this must remain coiled or otherwise unused at your feet or side.																																																												SOURCEPAGE:p.49
Lifeline			KEY:Lifeline ~ Rope Trick			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:When you or a nearby creature is falling (from a failed Climb check or otherwise), you can throw a held rope as an immediate action, maintaining a grip on one end. If you are falling, this is treated as an attempt to catch yourself while falling made with a +10 bonus, but there must be some sort of solid anchor available for your rope to loop around. When attempting this check on another creature, treat it as if you yourself were falling. If the weight of the creature exceeds twice your heavy load limit (your own equipment does not count against this maximum), you are pulled after it.			SOURCEPAGE:p.49
Quick Release		KEY:Quick Release ~ Rope Trick		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:You can secure a rope such that you can loose it from either end by making a quick series of tugs (a move action) at any point along the ropes length.																																																												SOURCEPAGE:p.49
Slip Away			KEY:Slip Away ~ Rope Trick			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:You gain a +10 bonus on Escape Artist checks to escape from ropes and ropelike restraints (such as vines).																																																					SOURCEPAGE:p.49
Tangle			KEY:Tangle ~ Rope Trick			CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:You can throw a coiled length of rope as a ranged weapon. If you hit with a ranged touch attack, the target becomes entangled. It can cut or burst the rope, or escape with a DC 15 Escape Artist check. The rope must be unsecured to use this trick.											SOURCEPAGE:p.49

###Block: Sunrod Tricks
# Ability Name		Unique Key						Category of Ability		Type						Description																																																																														Source Page
Flare				KEY:Flare ~ Sunrod Trick			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:As a standard action, you can expend the remaining life of a sunrod (lit or unlit) in an instant. Sighted reatures within a 20-foot-radius burst of the sunrod must succeed at a DC 15 Fortitude save or be dazzled for 2d4 rounds. Creatures with light sensitivity or light blindness receive a 2 penalty on their saving throws. Alternatively, as a full-round action, you can strike a creature with the sunrod or throw the sunrod as a ranged attack with a range increment of 10 feet. When it strikes a hard surface, it f lares as describe above. Since you dont have to hit a specific target, you can simply aim at the corner of particular 5-foot square. Treat the target corner as AC 5. If a creature is struck by the sunrod and fails its Fortitude save, it is blinded for the first round of its dazzled condition.																																																																SOURCEPAGE:p.49
Fast Sunrod		KEY:Fast Sunrod ~ Sunrod Trick		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:You can draw and light an easily accessible sunrod from a pack as a swift action.																																																														SOURCEPAGE:p.49
Like the Sun		KEY:Like the Sun ~ Sunrod Trick		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:You can use a sunrod as an additional material component for any spell that bears the light descriptor. The spell is treated as one spell level higher (to a maximum of 9th level) for all purposes, including the calculation of saving throw DCs and its ability to overcome sources of magical darkness.																																																											SOURCEPAGE:p.49
Lodge Sunrod		KEY:Lodge Sunrod ~ Sunrod Trick		CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	DESC:You can throw your sunrod as a ranged improvised weapon. If you hit with a ranged touch attack, the sunrod does no damage, but stays lodged on the target until the target or another creature spends a move action to remove it.																																																												SOURCEPAGE:p.49
Lure				KEY:Lure ~ Sunrod Trick			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:As a move action while holding a lit sunrod in your hand, you can attempt to move an animal in any direction you desire. Make a Handle Animal check against a DC of 15 + the target animals CR. If you are successful, the animal moves 5 feet in the desired direction on its next turn. For every 5 points by which your check exceeds the DC, the animal moves another 5 feet, up to the animals maximum speed. This movement provokes attacks of opportunity as normal, though if one is taken, the animal immediately stops moving (whether or not the attack hits). You cannot move an animal into an obvious hazard with this trick, but you can (for example) lure it into an open cage.																																																												SOURCEPAGE:p.49
Twice as Brightly	KEY:Twice as Brightly ~ Sunrod Trick	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:As full-round action, you can tamper with an unused sunrod such that it burns out in a single hour, but shines much more brightly. It sheds bright light in a 30-foot radius and increases the light level by two steps for an additional 30 feet beyond that area (darkness becomes normal light, and dim light or normal light becomes bright light). It does not increase the light level in bright light.																																																					SOURCEPAGE:p.49


