# CVS $Revision: 21789 $ $Author: amaitland $ -- Thu Feb 22 13:04:59 2007 -- reformated by prettylst.pl v1.36 (build 2045)
#SOURCELONG:Pathfinder Society Chronicle Sheets	SOURCESHORT:PFSCS	SOURCEWEB:http://www.mywebsite.com	SOURCEDATE:2008-01

ABILITYCATEGORY:Ocher Rhomboid Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Combat								PLURAL:Ocher Rhomboid Feats		DISPLAYLOCATION:Feats

# This ability pool hold the list of chronicle sheets
ABILITYCATEGORY:PFS Chronicle		VISIBLE:NO		EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:PFS Chronicle
ABILITYCATEGORY:PFSChronicle		DISPLAYNAME:PFS Chronicle Sheets		EDITABLE:YES	TYPE:PFSChronicle	CATEGORY:PFS Chronicle	DISPLAYLOCATION:Background	VISIBLE:YES	

ABILITYCATEGORY:Ally of Belhaim Perform Choice		EDITABLE:YES	EDITPOOL:NO	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AllyOfBelhaimPerformChoice	DISPLAYLOCATION:Background	VISIBLE:QUALIFY

#
# DONE
#

# These ability pools hold the chronicle sheet boons
ABILITYCATEGORY:Chronicle_S00-01	DISPLAYNAME:PFS Scenario #01: Silent Tide												CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-01	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-02	DISPLAYNAME:PFS Scenario #02: The Hydra's Fang Incident									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-02	DISPLAYLOCATION:Background	VISIBLE:QUALIFY
ABILITYCATEGORY:Chronicle_S00-03	DISPLAYNAME:PFS Scenario #03: Murder on the Silken Caravan									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-03	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-04	DISPLAYNAME:PFS Scenario #04: The Frozen Fingers of Midnight								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-04	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-05	DISPLAYNAME:PFS Scenario #05: Mists of Mwangi											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-05	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-06	DISPLAYNAME:PFS Scenario #06: Black Waters											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-06	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-07	DISPLAYNAME:PFS Scenario #07: Among the Living											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-07	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-08	DISPLAYNAME:PFS Scenario #08: Slave Pits of Absalom										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-08	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-09	DISPLAYNAME:PFS Scenario #09: Eye of the Crocodile King									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-09	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S00-10	DISPLAYNAME:PFS Scenario #10: Blood at Dralkard Manor										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S00-10	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
