# CVS $Revision: $ $Author: $ -- Fri Jan 29 20:50:52 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Champions of Corruption	SOURCESHORT:COC	SOURCEWEB:http://paizo.com/products/btpy991x?Pathfinder-Player-Companion-Champions-of-Corruption	SOURCEDATE:2014-09
# ORIGINAL ENTRY: Gwen T. (evilpixie87)
# ORIGINAL ENTRY DATE: 8 April 2016

# ==============================
# Deity Subdomain Access
# ==============================

Asmodeus.MOD			NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Corruption Subdomain,Greed Subdomain|PREALIGN:LN,LE,NE
Dahak.MOD				NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Corruption Subdomain,Greed Subdomain,Hatred Subdomain|PREALIGN:NE,CN,CE
Fumeiyoshi.MOD			NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Hatred Subdomain|PREALIGN:TN,NE,CE,LE
General Susumu.MOD		NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Corruption Subdomain|PREALIGN:LN,LE,NE
Gyronna.MOD				NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Corruption Subdomain,Hatred Subdomain|PREALIGN:NE,CN,CE
Lady Nanbyo.MOD			NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Hatred Subdomain|PREALIGN:CN,CE,NE
Lamashtu.MOD			NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Cannibalism Subdomain,Corruption Subdomain|PREALIGN:NE,CN,CE
Lao Shu Po.MOD			NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Greed Subdomain|PREALIGN:TN,NE,LE,CE
Norgorber.MOD			NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Greed Subdomain|PREALIGN:TN,LE,NE,CE
Rovagug.MOD				NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Cannibalism Subdomain,Corruption Subdomain,Demodand Subdomain (Evil),Demodand Subdomain (Chaos),Hatred Subdomain|PREALIGN:NE,CN,CE
Urgathoa.MOD			NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Cannibalism Subdomain,Corruption Subdomain|PREALIGN:TN,LE,NE,CE
Yaezhing.MOD			NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Demodand Subdomain (Evil),Demodand Subdomain (Chaos)|PREALIGN:LE,LN,NE
Zon-Kuthon.MOD			NAMEISPI:Yes		SOURCEPAGE:p.18,19		DOMAINS:Kyton Subdomain (Evil),Kyton Subdomain (Law)|PREALIGN:LN,LE,NE
