SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h

# Spell Name			Type				Classes of caster						School		Descriptor		Components		Casting Time			Range			Target Area or Effect	Duration					Save Info			Spell Resistance	Multiple Requirements														Source Page		Source Pub Link																Description
Analyze Aura			TYPE:Psychic		CLASSES:Mesmerist=3
Anticipate Thoughts		TYPE:Psychic		CLASSES:Mesmerist=2
Apport Animal			TYPE:Psychic		CLASSES:Mesmerist=3
Apport Object			TYPE:Psychic		CLASSES:Mesmerist=2
Aura Alteration			TYPE:Psychic		CLASSES:Mesmerist=3
Aversion				TYPE:Psychic		CLASSES:Mesmerist=2
Babble				TYPE:Psychic		CLASSES:Mesmerist=2
Burst of Adrenaline		TYPE:Psychic		CLASSES:Mesmerist=1
Burst of Insight			TYPE:Psychic		CLASSES:Mesmerist=1
Catatonia				TYPE:Psychic		CLASSES:Mesmerist=2
Charge Object			TYPE:Psychic		CLASSES:Mesmerist=1
Cognitive Block			TYPE:Psychic		CLASSES:Mesmerist=2
Decrepit Disguise			TYPE:Psychic		CLASSES:Mesmerist=1
Deja Vu				TYPE:Psychic		CLASSES:Mesmerist=1
Demand Offering			TYPE:Psychic		CLASSES:Mesmerist=1
Detect Mindscape			TYPE:Psychic		CLASSES:Mesmerist=2
Detect Psychic Significance	TYPE:Psychic		CLASSES:Mesmerist=0
Emotive Block			TYPE:Psychic		CLASSES:Mesmerist=2
Enshroud Thoughts			TYPE:Psychic		CLASSES:Mesmerist=2
Implant False Reading		TYPE:Psychic		CLASSES:Mesmerist=2
Inflict Pain			TYPE:Psychic		CLASSES:Mesmerist=2
Instigate Psychic Duel		TYPE:Psychic		CLASSES:Mesmerist=2
Mental Block			TYPE:Psychic		CLASSES:Mesmerist=1
Mindlink				TYPE:Psychic		CLASSES:Mesmerist=1
Mindscape Door			TYPE:Psychic		CLASSES:Mesmerist=3
Node of Blasting			TYPE:Psychic		CLASSES:Mesmerist=3
Object Possession (Lesser)	TYPE:Psychic		CLASSES:Mesmerist=3
Object Reading			TYPE:Psychic		CLASSES:Mesmerist=2
Oneiric Horror			TYPE:Psychic		CLASSES:Mesmerist=2
Oneiric Horror (Greater)	TYPE:Psychic		CLASSES:Mesmerist=3
Paranoia				TYPE:Psychic		CLASSES:Mesmerist=1
Placebo Effect			TYPE:Psychic		CLASSES:Mesmerist=2
Psychic Reading			TYPE:Psychic		CLASSES:Mesmerist=1
Quintessence			TYPE:Psychic		CLASSES:Mesmerist=1
Synaptic Pulse			TYPE:Psychic		CLASSES:Mesmerist=3
