SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h

#Separated into own file so as to not require ARG

#Mesmerist 1
Blend.MOD				TYPE:Psychic	CLASSES:Mesmerist=1
Jitterbugs.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Sow Thought.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Theft Ward.MOD			TYPE:Psychic	CLASSES:Mesmerist=1

#Mesmerist 2
Agonizing Rebuke.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Bestow Insight.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Delay Disease.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Shadow Anchor.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Steal Breath.MOD			TYPE:Psychic	CLASSES:Mesmerist=2

#Mesmerist 3
Agonizing Rebuke.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Fearsome Duplicate.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Minor Dream.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Nixie's Lure.MOD				TYPE:Psychic	CLASSES:Mesmerist=3
Resilient Reservoir.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
