# CVS $Revision: $ $Author: $ -- Thu Nov 26 22:25:37 2015 -- reformated by PCGen PrettyLST v6.05.01
SOURCELONG:Occult Adventures	SOURCESHORT:OA	SOURCEWEB:http://paizo.com/products/btpy9a0h

#Separated into own file so as to not require ACG

# Spell Name			Type			Classes of caster
Adjustable Disguise.MOD		TYPE:Psychic	CLASSES:Medium,Mesmerist=3
Adjustable Polymorph.MOD	TYPE:Psychic	CLASSES:Medium=4
Anonymous Interaction.MOD	TYPE:Psychic	CLASSES:Mesmerist=2
Aura Sight.MOD			TYPE:Psychic	CLASSES:Mesmerist=3
Blurred Movement.MOD		TYPE:Psychic	CLASSES:Mesmerist=1
Discern Next of Kin.MOD		TYPE:Psychic	CLASSES:Medium,Mesmerist=1
Disguise Weapon.MOD		TYPE:Psychic	CLASSES:Medium,Mesmerist=1
Enchantment Foil.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Euphoric Cloud.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Extreme Flexibility.MOD		TYPE:Psychic	CLASSES:Medium=2
Feast on Fear.MOD			TYPE:Psychic	CLASSES:Mesmerist=4
Focused Scrutiny.MOD		TYPE:Psychic	CLASSES:Medium,Mesmerist=2
Heightened Awareness.MOD	TYPE:Psychic	CLASSES:Medium,Mesmerist=1
Investigative Mind.MOD		TYPE:Psychic	CLASSES:Medium,Mesmerist=2
Long Arm.MOD			TYPE:Psychic	CLASSES:Medium=1
Mantle of Calm.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Memorize Page.MOD			TYPE:Psychic	CLASSES:Mesmerist=1
Mindlocked Messenger.MOD	TYPE:Psychic	CLASSES:Mesmerist=2
Muffle Sound.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Pierce Disguise.MOD		TYPE:Psychic	CLASSES:Medium=3
Silent Table.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Speak with Haunt.MOD		TYPE:Psychic	CLASSES:Medium=2
Speak with Haunt.MOD		TYPE:Psychic	CLASSES:Mesmerist=4[PREABILITY:1,CATEGORY=Special Ability,Spirit Walker ~ Spells]
Stricken Heart.MOD		TYPE:Psychic	CLASSES:Mesmerist=2
Symbol of Laughter.MOD		TYPE:Psychic	CLASSES:Mesmerist=3
Triggered Suggestion.MOD	TYPE:Psychic	CLASSES:Mesmerist=3
Twilight Haze.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
Unliving Rage.MOD			TYPE:Psychic	CLASSES:Mesmerist=2
