#  Sun Aug  5 21:24:58 2018 -- reformated by PCGen PrettyLST v6.06.00



# Ability Name			Category of Ability	Type				Description
ACOLYTE BACKGROUND		CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]You spent your early days in a religious monastery or cloister. You may have traveled out into the world to spread the message of your religion or because you cast away the teachings of your faith, but deep inside you'll always carry the lessons you learned. Choose two ability boosts. One must be to Constitution or Wisdom, and one is a free ability boost. You gain the Student of the Canon skill feat, and you're trained in the Lore skill corresponding to your deity (such as Desna Lore or Sarenrae Lore).
ACROBAT BACKGROUND		CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]In a circus or on the streets, you earned your pay by performing as an acrobat. You might have turned to adventuring when the money dried up, or when you learned to put skills to better use. Choose two ability boosts. One must be to Strength or Dexterity, and one is a free ability boost. You gain the Steady Balance skill feat, and you're trained in the Circus Lore skill.
ANIMAL WHISPERER BACKGROUND	CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]You have always felt a connection to animals, and it was only a small leap to learn to train them. As you travel, you continuously encounter different creatures, befriending them along the way. Choose two ability boosts. One must be to Wisdom or Charisma, and one is a free ability boost. You gain the Train Animal skill feat, and you're trained in the Animal Lore skill.
BARKEEP BACKGROUND		CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]You have five specialties: hefting barrels, polishing steins, drinking, drinking, and drinking. You ran or worked in a bar, where you learned how to hold your liquor and rowdily socialize. Choose two ability boosts. One must be to Constitution or Charisma, and one is a free ability boost. You gain the Hobnobber skill feat, and you're trained in the Alcohol Lore skill.
BLACKSMITH BACKGROUND		CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]You were a blacksmith or a blacksmith's apprentice, and during countless hours toiling at the forge, you learned how to smith armor and weapons. Perhaps you worked hard each day and dreamed of adventure each night, or perhaps the adventuring life was thrust upon you by a pivotal event. Choose two ability boosts. One must be to Strength or Intelligence, and one is a free ability boost. You gain the Specialty Crafting skill feat for blacksmithing, and you're trained in the Smithing Lore skill.
CRIMINAL BACKGROUND		CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]As an unscrupulous independent or as a member of an underworld organization, you lived a life of crime. You might have become an adventurer to seek redemption, to escape the law, or simply to get access to bigger and better loot. Choose two ability boosts. One must be to Dexterity or Intelligence, and one is a free ability boost. You gain the Experienced Smuggler skill feat, and you're trained in the Underworld Lore skill.
ENTERTAINER BACKGROUND		CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]Through an education in the arts or sheer, dogged practice, you learned to entertain crowds. You might have been an actor, a dancer, a musician, a magician, or any other sort of performer. Choose two ability boosts. One must be to Dexterity or Charisma, and one is a free ability boost. You gain the Fascinating Performance skill feat, and you're trained in the Entertainment Lore skill.
FARMHAND BACKGROUND		CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]With a strong back and an understanding of seasonal cycles, you tilled the land and tended crops. Your farm could have been razed by invaders, you could have lost the family tying you to the land, or you might have simply tired of the drudgery, but at some point you became an adventurer. Choose two ability boosts. One must be to Constitution or Wisdom, and one is a free ability boost. You gain the Assurance skill feat with Athletics, and you're trained in the Farming Lore skill.
GLADIATOR BACKGROUND		CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]The bloody games of the arena taught you the art of combat. Before you attained true fame, you departed—or escaped—the arena to explore the world. Your skill at drawing both blood and a crowd's attention pay off in a new adventuring life. Choose two ability boosts. One must be to Strength or Charisma, and one is a free ability boost. You gain the Fascinating Performance skill feat, and you're trained in the Gladiatorial Lore skill.
HUNTER BACKGROUND			CATEGORY:Background	TYPE:Display.Background	DESC:[Nothing Implemented yet]You stalk and take down animals and other creatures of the wild. Skinning animals, harvesting their flesh, and cooking them were also part of your training, all of which can give you useful resources while you adventure. Choose two ability boosts. One must be to Dexterity or Wisdom, and one is a free ability boost. You gain the Survey Wildlife skill feat, and you're trained in the Hunting Lore skill.
