#  Sun Aug  5 21:24:58 2018 -- reformated by PCGen PrettyLST v6.06.00


# Class Name	Type		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Alchemist	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Alchemist	DEFINE:AlchemistCL|0	BONUS:HP|CURRENTMAX|8*AlchemistCL	BONUS:VAR|AlchemistCL|classlevel()	DESC:The alchemist throws alchemical bombs and drinks concoctions of his own making during combat. Intelligence, 2nd Constitution, Dexterity
# Class Name	Multiple Requirements
CLASS:Alchemist	PREMULT:1,[PRECLASS:1,Alchemist=1],[!PRECLASS:1,TYPE=Class]
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Class Progression
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Advanced Alchemy		
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ QUICK ALCHEMY	
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Formula Book		
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Studied Resonance		
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemist Feats		
2	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Skill Feats			
3	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Empower Bombs	
3	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ General Feats	
3	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Skill Increases	
5	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Mutagen Crafting
9	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Expanded Resonance
13	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Double Elixir	
17	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemical Alacrity

# Class Name	Type		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Barbarian	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Barbarian	DEFINE:BarbarianCL|0	BONUS:HP|CURRENTMAX|12*BarbarianCL	BONUS:VAR|BarbarianCL|classlevel()	DESC:The barbarian flies into a rage on the battlefield, smashing foes with abandon. Strength, 2nd Constitution, Dexterity
# Class Name	Multiple Requirements
CLASS:Barbarian	PREMULT:1,[PRECLASS:1,Barbarian=1],[!PRECLASS:1,TYPE=Class]
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Class Progression
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Rage					
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ RAGE Action				
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Totem					
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Barbarian Feats		
2	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Skill Feats			
