# Sun Oct 20 14:45:41 2019 -- reformatted by PCGen TidyLst v1.04.00


# Class Name	Type		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Alchemist	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Alchemist	DEFINE:AlchemistCL|0	BONUS:HP|CURRENTMAX|8*AlchemistCL	BONUS:VAR|AlchemistCL|classlevel()	DESC:The alchemist throws alchemical bombs and drinks concoctions of his own making during combat. Intelligence, 2nd Constitution, Dexterity

# Class Name	Multiple Requirements
CLASS:Alchemist	PREMULT:1,[PRECLASS:1,Alchemist=1],[!PRECLASS:1,TYPE=Class]	SOURCEPAGE:p.71

#CLASS:Alchemist	TEMPLATE:Alchemy
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS

###Block: Class Progression
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Initial Proficiencies
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemy
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Formula Book
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Research Field
1	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemist Feats
5	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Field Discovery
7	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemical Weapon Expertise
7	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Iron Will
7	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Perpetual Infusions
9	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemical Expertise
9	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alertness
9	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Double Brew
11	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Juggernaut
11	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Perpetual Potency
13	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Greater Field Discovery
13	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Light Armor Expertise
13	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Weapon Specialization
15	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemical Alacrity
15	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Evasion
17	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Alchemical Mastery
17	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Perpetual Perfection
19	ABILITY:Alchemist Class Feature|AUTOMATIC|Alchemist Class Feature ~ Light Armor Mastery


# Class Name	Type		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Barbarian	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Barbarian	DEFINE:BarbarianCL|0	BONUS:HP|CURRENTMAX|12*BarbarianCL	BONUS:VAR|BarbarianCL|classlevel()	DESC:The barbarian flies into a rage on the battlefield, smashing foes with abandon. Strength, 2nd Constitution, Dexterity

# Class Name	Multiple Requirements
CLASS:Barbarian	PREMULT:1,[PRECLASS:1,Barbarian=1],[!PRECLASS:1,TYPE=Class]	SOURCEPAGE:p.83
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Class Progression
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Rage
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Instinct
1	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Barbarian Feats
3	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Critical Brutality
5	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Deny Advantage
7	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Juggernaut
9	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Raging Resistance
11	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Mighty Rage
13	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Improved Juggernaut
13	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Weapon Fury
15	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Indomitable Will
17	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Tireless Rage
19	ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian Class Feature ~ Devastating Strikes



# Class Name	Spell Type			Type		Ability				Define		Bonus to HP				Modify VAR				Description
CLASS:Bard		FACT:SpellType|Occult	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Bard	DEFINE:BardCL|0	BONUS:HP|CURRENTMAX|8*BardCL	BONUS:VAR|BardCL|classlevel()	DESC:Performance and secrets of the occult enable the bard to distract foes and inspire allies. Charisma, 2nd Constitution, Dexterity

# Class Name	Multiple Requirements
CLASS:Bard		PREMULT:1,[PRECLASS:1,Bard=1],[!PRECLASS:1,TYPE=Class]	SOURCEPAGE:p.95

# Class Name	Spell Stat		Memorize	Use Spell List
CLASS:Bard		SPELLSTAT:CHA	MEMORIZE:NO	SPELLLIST:1|Occult
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Cast Progression
1	CAST:99,2
2	CAST:99,3
3	CAST:99,3,2
4	CAST:99,3,3
5	CAST:99,3,3,2
6	CAST:99,3,3,3
7	CAST:99,3,3,3,2
8	CAST:99,3,3,3,3
9	CAST:99,3,3,3,3,2
10	CAST:99,3,3,3,3,3
11	CAST:99,3,3,3,3,3,2
12	CAST:99,3,3,3,3,3,3
13	CAST:99,3,3,3,3,3,3,2
14	CAST:99,3,3,3,3,3,3,3
15	CAST:99,3,3,3,3,3,3,3,2
16	CAST:99,3,3,3,3,3,3,3,3
17	CAST:99,3,3,3,3,3,3,3,3,2
18	CAST:99,3,3,3,3,3,3,3,3,3
19	CAST:99,3,3,3,3,3,3,3,3,3
20	CAST:99,3,3,3,3,3,3,3,3,3
###Block: Known Progression
1	KNOWN:4,1
2	KNOWN:5,2
3	KNOWN:5,2,2
4	KNOWN:5,2,3
5	KNOWN:5,2,3,2
6	KNOWN:5,2,3,3
7	KNOWN:5,2,3,3,2
8	KNOWN:5,2,3,3,3
9	KNOWN:5,2,3,3,3,2
10	KNOWN:5,2,3,3,3,3
11	KNOWN:5,2,3,3,3,3,2
12	KNOWN:5,2,3,3,3,3,3
13	KNOWN:5,2,3,3,3,3,3,2
14	KNOWN:5,2,3,3,3,3,3,3
15	KNOWN:5,2,3,3,3,3,3,3,2
16	KNOWN:5,2,3,3,3,3,3,3,3
17	KNOWN:5,2,3,3,3,3,3,3,3,2
18	KNOWN:5,2,3,3,3,3,3,3,3,3
19	KNOWN:5,2,3,3,3,3,3,3,3,3
20	KNOWN:5,2,3,3,3,3,3,3,3,3
###Block: Class Progression
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Occult Spellcasting	
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Spell Repertoire		
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Composition Spells	
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Muses			
3	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Lightning Reflexes	
3	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Signature Spells		
7	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Expert Spellcaster	
9	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Great Fortitude		
9	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Resolve			
11	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Bard Weapon Expertise	
11	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Vigilant Senses		
13	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Light Armor Expertise	
13	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Weapon Specialization	
15	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Master Spellcaster	
17	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Greater Resolve		
19	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Magnum Opus		
19	ABILITY:Bard Class Feature|AUTOMATIC|Bard Class Feature ~ Legendary Spellcaster	


# Class Name	Type		Define			Bonus to HP					Modify VAR					Description
CLASS:Champion	TYPE:Class	DEFINE:ChampionCL|0	BONUS:HP|CURRENTMAX|10*ChampionCL	BONUS:VAR|ChampionCL|classlevel()	DESC:You are an emissary of a deity, a devoted servant who has taken up a weighty mantle, and you adhere to a code that holds you apart from those around you. While champions exist for every alignment, as a champion of good, you provide certainty and hope to the innocent. You have powerful defenses that you share freely with your allies and innocent bystanders, as well as holy power you use to end the threat of evil. Your devotion even attracts the attention of holy spirits who aid you on your journey. Strength or Dexterity.

# Class Name	Multiple Requirements
CLASS:Champion	PREMULT:1,[PRECLASS:1,Champion=1],[!PRECLASS:1,TYPE=Class]
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
1							ABILITY:CLASS|AUTOMATIC|Champion
###Block: Class Features
1	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Initial Proficiencies			
1	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Champion's Code				
1	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Deity and Cause				
1	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Deific Weapon				
1	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Champion's Reaction			
1	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Devotion Spells				
1	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Champion Feats				
1	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Shield Block					
3	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Divine Ally				
5	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Weapon Expertise			
7	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Armor Expertise			
7	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Weapon Specialization		
9	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Champion Expertise			
9	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Divine Smite				
9	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Juggernaut				
9	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Lightning Reflexes			
11	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Alertness				
11	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Divine Will				
11	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Exalt					
13	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Armor Mastery				
13	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Weapon Mastery			
15	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Greater Weapon Specialization	
17	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Champion Mastery			
17	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Legendary Armor			
19	ABILITY:Champion Class Feature|AUTOMATIC|Champion Class Feature ~ Hero's Defiance			


# Class Name	Spell Type			Type		Ability					Define		Bonus to HP					Modify VAR					Description
CLASS:Cleric	FACT:SpellType|Divine	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Cleric	DEFINE:ClericCL|0	BONUS:HP|CURRENTMAX|8*ClericCL	BONUS:VAR|ClericCL|classlevel()	DESC:The cleric calls on the power of a deity to cast spells that can heal allies or harm foes. Wisdom, 2nd Charisma, Constitution

# Class Name	Multiple Requirements
CLASS:Cleric	PREMULT:1,[PRECLASS:1,Cleric=1],[!PRECLASS:1,TYPE=Class]

# Class Name	Spell Stat		Memorize	Use Spell List
CLASS:Cleric	SPELLSTAT:WIS	MEMORIZE:NO	SPELLLIST:1|Divine
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Class Progression
1	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Initial Proficiencies	
1	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Deity				
1	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Divine Spellcasting		
1	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Divine Font			
1	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Doctrine				
2	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Cleric Feats			
5	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Alertness			
9	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Resolve				
11	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Lightning Reflexes		
13	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Divine Defense			
13	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Weapon Specialization	
19	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric Class Feature ~ Miraculous Spell		
###Block: Cast Progression
1	CAST:99,2
2	CAST:99,3
3	CAST:99,3,2
4	CAST:99,3,3
5	CAST:99,3,3,2
6	CAST:99,3,3,3
7	CAST:99,3,3,3,2
8	CAST:99,3,3,3,3
9	CAST:99,3,3,3,3,2
10	CAST:99,3,3,3,3,3
11	CAST:99,3,3,3,3,3,2
12	CAST:99,3,3,3,3,3,3
13	CAST:99,3,3,3,3,3,3,2
14	CAST:99,3,3,3,3,3,3,3
15	CAST:99,3,3,3,3,3,3,3,2
16	CAST:99,3,3,3,3,3,3,3,3
17	CAST:99,3,3,3,3,3,3,3,3,2
18	CAST:99,3,3,3,3,3,3,3,3,3
19	CAST:99,3,3,3,3,3,3,3,3,3
20	CAST:99,3,3,3,3,3,3,3,3,3


# Class Name	Spell Type			Type		Ability				Define		Bonus to HP				Modify VAR					Description
CLASS:Druid		FACT:SpellType|Primal	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Druid	DEFINE:DruidCL|0	BONUS:HP|CURRENTMAX|8*DruidCL	BONUS:VAR|DruidCL|classlevel()	DESC:The druid uses the natural world's magic to bolster her and her allies' strength while calling pain down upon enemies. Wisdom, 2nd Constitution, Dexterity

# Class Name	Multiple Requirements
CLASS:Druid		PREMULT:1,[PRECLASS:1,Druid=1],[!PRECLASS:1,TYPE=Class]

# Class Name	Spell Stat		Memorize	Use Spell List
CLASS:Druid		SPELLSTAT:WIS	MEMORIZE:NO	SPELLLIST:1|Primal
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Cast Progression
1	CAST:99,2
2	CAST:99,3
3	CAST:99,3,2
4	CAST:99,3,3
5	CAST:99,3,3,2
6	CAST:99,3,3,3
7	CAST:99,3,3,3,2
8	CAST:99,3,3,3,3
9	CAST:99,3,3,3,3,2
10	CAST:99,3,3,3,3,3
11	CAST:99,3,3,3,3,3,2
12	CAST:99,3,3,3,3,3,3
13	CAST:99,3,3,3,3,3,3,2
14	CAST:99,3,3,3,3,3,3,3
15	CAST:99,3,3,3,3,3,3,3,2
16	CAST:99,3,3,3,3,3,3,3,3
17	CAST:99,3,3,3,3,3,3,3,3,2
18	CAST:99,3,3,3,3,3,3,3,3,3
19	CAST:99,3,3,3,3,3,3,3,3,3
20	CAST:99,3,3,3,3,3,3,3,3,3
###Block: Class Progression
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Initial Proficiencies	
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Primal Spellcasting	
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Anathema			
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Druidic Language	
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Druidic Order		
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Shield Block		
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Wild Empathy		
2	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Druid Feats		
3	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Alertness			
3	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Great Fortitude		
5	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Lightning Reflexes	
7	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Expert Spellcaster	
11	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Druid Weapon Expertise
11	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Resolve			
13	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Medium Armor Expertise
13	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Weapon Specialization	
15	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Master Spellcaster	
19	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Legendary Spellcaster	
19	ABILITY:Druid Class Feature|AUTOMATIC|Druid Class Feature ~ Primal Hierophant	


# Class Name	Type		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Fighter	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Fighter	DEFINE:FighterCL|0	BONUS:HP|CURRENTMAX|10*FighterCL	BONUS:VAR|FighterCL|classlevel()	DESC:The fighter is a master of weapons, martial techniques, and powerful attack combinations. Dexterity or Strength, 2nd Constitution

# Class Name	Multiple Requirements
CLASS:Fighter	PREMULT:1,[PRECLASS:1,Fighter=1],[!PRECLASS:1,TYPE=Class]
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Class Progression
1	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Initial Proficiencies		
1	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Attack of Opportunity		
1	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Fighter Feats					
1	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Shield Block					
3	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Bravery					
5	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Fighter Weapon Mastery		
7	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Battlefield Surveyor			
7	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Weapon Specialization			
9	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Combat Flexibility			
9	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Juggernaut				
11	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Armor Expertise			
11	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Fighter Expertise			
13	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Weapon Legend					
15	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Evasion						
15	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Greater Weapon Specialization	
15	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Improved Flexibility			
17	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Armor Mastery					
19	ABILITY:Fighter Class Feature|AUTOMATIC|Fighter Class Feature ~ Versatile Legend			


# Class Name	Type		Ability				Define		Bonus to HP				Modify VAR				Description
CLASS:Monk		TYPE:Class	ABILITY:CLASS|AUTOMATIC|Monk	DEFINE:MonkCL|0	BONUS:HP|CURRENTMAX|10*MonkCL	BONUS:VAR|MonkCL|classlevel()	DESC:The monk spins the secrets of martial arts into dazzling displays of battlefield prowess. Dexterity or Strength, 2nd Constitution, Wisdom

# Class Name	Multiple Requirements
