# Mon Oct 28 08:06:48 2019 -- reformatted by PCGen TidyLst v1.04.00


###Block:
# Skill Name	Key Stat	Type
Acrobatics		KEYSTAT:DEX	TYPE:Acrobatics		KEY:Acrobatics	
Arcana		KEYSTAT:INT	TYPE:Arcana			KEY:Arcana		
Athletics		KEYSTAT:STR	TYPE:Athletics		KEY:Athletics	
Crafting		KEYSTAT:INT	TYPE:Crafting		KEY:Crafting	
Deception		KEYSTAT:CHA	TYPE:Deception		KEY:Deception	
Diplomacy		KEYSTAT:CHA	TYPE:Diplomacy		KEY:Diplomacy	
Intimidation	KEYSTAT:CHA	TYPE:Intimidation		KEY:Intimidation	
Lore (Untrained)	KEYSTAT:INT	TYPE:Lore			KEY:Lore		
Medicine		KEYSTAT:WIS	TYPE:Medicine		KEY:Medicine	
Nature		KEYSTAT:WIS	TYPE:Nature			KEY:Nature		
Occultism		KEYSTAT:INT	TYPE:Occultism		KEY:Occultism	
Performance		KEYSTAT:CHA	TYPE:Performance		KEY:Performance	
Religion		KEYSTAT:WIS	TYPE:Religion		KEY:Religion	
Society		KEYSTAT:INT	TYPE:Society		KEY:Society	
Stealth		KEYSTAT:DEX	TYPE:Stealth		KEY:Stealth	
Survival		KEYSTAT:WIS	TYPE:Survival		KEY:Survival	
Thievery		KEYSTAT:DEX	TYPE:Thievery		KEY:Thievery	




# Other Lore
Lore - Academia Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Accounting Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Architecture Lore					KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Art Lore							KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Circus Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Engineering Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Farming Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Fishing Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Fortune-Telling Lore					KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Games Lore							KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Genealogy Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Gladiatorial Lore					KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Guild Lore							KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Heraldry Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Herbalism Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Hunting Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Labor Lore							KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Legal Lore							KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Library Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Abyss Lore							KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Astral Plane Lore					KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Heaven Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Mercantile Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Midwifery Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Milling Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Mining Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Sailing Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Scouting Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Scribing Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Stabling Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Tanning Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Theater Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Underworld Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - Warfare Lore						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - specific settlement					KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - specific terrain						KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO
Lore - specific food or drink					KEYSTAT:INT	TYPE:Lore.Other Lore	USEUNTRAINED:NO

###Block: Terrain Lore
Lore - Dessert Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Hill Lore							KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Mountain Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Plain Lore							KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Forest Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Jungle Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - River Lore							KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Ocean Lore							KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Underwater Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Swamp Lore							KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Marsh Lore							KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Canyon Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Glacier Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Tundra Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Oasis Lore							KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Valley Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Underground Lore						KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO
Lore - Sky Lore							KEYSTAT:INT	TYPE:Lore.Terrain Lore	USEUNTRAINED:NO

###Block: Deity Lore
# Skill Name							Key Stat	Type		Required Class Skill
Lore - Abadar Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Asmodeus Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Calistria Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Cayden Cailean Lore					KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Desna Lore							KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Erastil Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Gorum Lore							KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Gozreh Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Iomedae Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Irori Lore							KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Lamashtu Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Nethys Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Norgorber Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Pharasma Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Rovagug Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Sarenrae Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Shelyn Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Torag Lore							KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Urgathoa Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO
Lore - Zon-Kuthon Lore						KEYSTAT:INT	TYPE:Lore.Deity Lore	USEUNTRAINED:NO

###Block: Settlement Lore (Impossible to implement, there are any number of settlements... Lore about a specific settlement (Absalom Lore, Magnimar Lore, etc.))
Lore - Absalom Lore						KEYSTAT:INT	TYPE:Lore.Settlement Lore	USEUNTRAINED:NO
Lore - Magnimar Lore						KEYSTAT:INT	TYPE:Lore.Settlement Lore	USEUNTRAINED:NO


# Lore - Lore about a specific creature or narrow category of creatures (Demon Lore, Owlbear Lore, Vampire Lore, etc.)
# Lore - Lore of a specific plane other than the Material Plane, or the plane in which the game is set if not the Material Plane (
# * 
# * Lore of a type of food or drink (Alcohol Lore, Baking Lore, Butchering Lore, Cooking Lore, Tea Lore, etc.)

Lore - Creature Lore 1	KEYSTAT:INT	TYPE:Lore.Settlement Lore	USEUNTRAINED:NO
Lore - Creature Lore 2	KEYSTAT:INT	TYPE:Lore.Settlement Lore	USEUNTRAINED:NO

Lore - Food Lore 1	KEYSTAT:INT	TYPE:Lore.Settlement Lore	USEUNTRAINED:NO
Lore - Food Lore 2	KEYSTAT:INT	TYPE:Lore.Settlement Lore	USEUNTRAINED:NO

Lore - Drink Lore 1	KEYSTAT:INT	TYPE:Lore.Settlement Lore	USEUNTRAINED:NO
Lore - Drink Lore 2	KEYSTAT:INT	TYPE:Lore.Settlement Lore	USEUNTRAINED:NO

Lore - Material Plane Lore	KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO
Lore - Elemental Plane Lore	KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO
Lore - Astral Plane Lore	KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO
Lore - Ethereal Plane Lore	KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO
Lore - Feywild Plane Lore	KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO
Lore - Hell Plane Lore		KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO
Lore - Lower Plane Lore		KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO
Lore - Upper Plane Lore		KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO
Lore - Inner Plane Lore		KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO
Lore - Outer Plane Lore		KEYSTAT:INT	TYPE:Lore.Plane Lore	USEUNTRAINED:NO

_	KEY:Lore - Fill In the Blank 1	KEYSTAT:INT	TYPE:Lore.Fill In Lore	USEUNTRAINED:NO
_	KEY:Lore - Fill In the Blank 2	KEYSTAT:INT	TYPE:Lore.Fill In Lore	USEUNTRAINED:NO
