#SOURCELONG:Adventurer's Handbook: Genius Guide Volume 1	SOURCESHORT:SGGAH	SOURCEDATE:2010-04
# Original Entry by: Paul Shipley (elro the onk)

# Archon
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Display Location
ABILITYCATEGORY:Archon Weapon Proficiency	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArchonWeaponProf		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Archon Rivenspell		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArchonRivenspell		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Archon Favored Spell	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArchonFavoredSpell		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Archon Favored Spell 2	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArchonFavoredSpell2	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Archon Hexsword Type	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArchonHexswordType		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Archon Hexsword Damage	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArchonHexswordDamage	DISPLAYLOCATION:Class Abilities

# Death Mage
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Display Location
ABILITYCATEGORY:Death Mage Pale Road	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DeathMagePaleRoad		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Death Mage Death Bond	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DeathMageDeathBond		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Death Mage Fetish Power	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DeathMageFetishPower	DISPLAYLOCATION:Class Abilities

# Magister
# Ability Category				Visible		Editable?	Edit Pool?		Fractional?		Category of Object		Type of Object			Display Location
ABILITYCATEGORY:Magister Power Source	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO		FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterPowerSource	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary List	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO		FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellList		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Magister Primary 0 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell0		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary 1 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell1		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary 2 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell2		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary 3 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell3		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary 4 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell4		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary 5 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell5		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary 6 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell6		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary 7 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell7		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary 8 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell8		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Primary 9 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpell9		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 0 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO0		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 1 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO1		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 2 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO2		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 3 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO3		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 4 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO4		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 5 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO5		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 6 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO6		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 7 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO7		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 8 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO8		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Other 9 Spells	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterSpellO9		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Magister Mystic Bond				VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:NO		FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterBond				DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Mystic Talent				VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterTalent			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Mystic Power				VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:Special Ability	TYPE:MagisterPower			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Magister Bonus Feat (Divine Heritage)		VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:FEAT			TYPE:Magister				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Magister Bonus Feat (Abyssal Bloodline)	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:FEAT			TYPE:Magister.AbyssalBloodline	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Magister Bonus Feat (Arcane Bloodline)	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:FEAT			TYPE:Magister.ArcaneBloodline		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Magister Bonus Feat (Celestial Bloodline)	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:FEAT			TYPE:Magister.CelestialBloodline	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Magister Bonus Feat (Elemental Bloodline)	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:FEAT			TYPE:Magister.ElementalBloodline	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Magister Bonus Feat (Infernal Bloodline)	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:FEAT			TYPE:Magister.InfernalBloodline	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Magister Extra Bonus Feat (Metamagic Pool)	VISIBLE:QUALIFY	EDITABLE:NO	EDITPOOL:YES	FRACTIONALPOOL:NO	CATEGORY:FEAT			TYPE:MagisterMetamagic			DISPLAYLOCATION:Feats
