# CVS $Revision: $ $Author: $ -- Fri Apr  1 08:57:13 2005 -- reformated by prettylst.pl v1.34 (build 455)
SOURCELONG:d20Talislanta|SOURCESHORT:d20Tal|SOURCEWEB:http://www.talislanta.com
# Orginal Entry By: Loyal

# Feat Name			Type					Visible	Required Feat		Special Ability																							Define							Description				Save checks bonus							Combat bonus				Add to base move																						Bonus to skill																		Modify VAR																									Source Page
Scout Movement		TYPE:Special			VISIBLE:NO																														DEFINE:ScoutMoveBonus|0	DEFINE:ScoutMoveLvl|0																					BONUS:MOVEADD|TYPE=Walk|ScoutMoveBonus|PREVAREQ:ENCUMBERANCE,0,COUNT[EQTYPE.ARMOR.EQUIPPED.IS.MEDIUM],0,COUNT[EQTYPE.ARMOR.EQUIPPED.IS.HEAVY],0																					BONUS:VAR|ScoutMoveBonus|(ScoutMoveLvl).TRUNC*10

###Block: Scholar Powers
# Alchemist Feat Name			Type						Visible	Special Ability				Multiple?	Source Page
# Feat Name					Type					Visible	Special Ability					Description				Stackable?	Multiple?	Choose							Source Page
Distill Acids				TYPE:AlchemistMinorPower	VISIBLE:NO	SA:Distill Acids												MULT:NO									SOURCEPAGE:112
Create Alchemical Materials		TYPE:AlchemistMinorPower	VISIBLE:NO	SA:Create Alchemical Materials									MULT:NO									SOURCEPAGE:112
Prepare Poisons				TYPE:AlchemistMinorPower	VISIBLE:NO	SA:Prepare Poisons											MULT:NO									SOURCEPAGE:112
Concoct Medicines				TYPE:AlchemistMinorPower	VISIBLE:NO	SA:Concoct Medicines											MULT:NO									SOURCEPAGE:112
Chemical Resistance			TYPE:AlchemistMinorPower	VISIBLE:NO	SA:Chemical Resistance											MULT:NO									SOURCEPAGE:112
Taste Test					TYPE:AlchemistMinorPower	VISIBLE:NO	SA:Taste Test												MULT:NO									SOURCEPAGE:112
Brew Alchemical Potion			TYPE:AlchemistMajorPower	VISIBLE:NO	SA:Brew Alchemical Potion										MULT:NO									SOURCEPAGE:112
Prepare Explosives			TYPE:AlchemistMajorPower	VISIBLE:NO	SA:Prepare Explosives											MULT:NO									SOURCEPAGE:112
Mass Production				TYPE:AlchemistMajorPower	VISIBLE:NO	SA:Mass Production											MULT:NO									SOURCEPAGE:112
# Savant Feat Name			Type						Visible	Special Ability				Multiple?	Source Page
Shrewd					TYPE:SavantMinorPower		VISIBLE:NO	SA:Shrewd													MULT:NO									SOURCEPAGE:112
Natural Talent				TYPE:SavantMinorPower		VISIBLE:NO	SA:Natural Talent												MULT:NO									SOURCEPAGE:112
Eidetic Memory				TYPE:SavantMinorPower		VISIBLE:NO	SA:Eidetic Memory												MULT:NO									SOURCEPAGE:112
Skill Focus					TYPE:SavantMinorPower		VISIBLE:NO	SA:Skill Focus												MULT:NO									SOURCEPAGE:112
Eye for Detail				TYPE:SavantMajorPower		VISIBLE:NO	SA:Eye for Detail												MULT:NO									SOURCEPAGE:112
Skill Mastery				TYPE:SavantMajorPower		VISIBLE:NO	SA:Skill Mastery					DESC:Take 10 on listed skills	STACK:NO	MULT:YES	CHOOSE:NUMCHOICES=3+INT|SKILLS|TYPE=Knowledge	SOURCEPAGE:112
Knowledge is Power			TYPE:SavantMjaorPower		VISIBLE:NO	SA:Knowledge is Power											MULT:NO									SOURCEPAGE:112
# Technomancer Feat Name		Type						Visible	Special Ability				Multiple?	Source Page
Clockwork Construct (minor)		TYPE:TechnomancerMinorPower	VISIBLE:NO	SA:Clockwork Construct (minor)									MULT:NO									SOURCEPAGE:112
Repair Mechanisms				TYPE:TechnomancerMinorPower	VISIBLE:NO	SA:Repair Mechanisms											MULT:NO									SOURCEPAGE:112
Structural Analysis			TYPE:TechnomancerMinorPower	VISIBLE:NO	SA:Structural Analysis											MULT:NO									SOURCEPAGE:112
Tecnoaurism					TYPE:TechnomancerMinorPower	VISIBLE:NO	SA:Tecnoaurism												MULT:NO									SOURCEPAGE:112
Tecnomagnetism				TYPE:TechnomancerMinorPower	VISIBLE:NO	SA:Tecnomagnetism												MULT:NO									SOURCEPAGE:112
Technomantic Actuator Repair		TYPE:TechnomancerMinorPower	VISIBLE:NO	SA:Technomantic Actuator Repair									MULT:NO									SOURCEPAGE:112
Telescopy					TYPE:TechnomancerMinorPower	VISIBLE:NO	SA:Telescopy												MULT:NO									SOURCEPAGE:112
Assemble and Disassemble		TYPE:TechnomancerMajorPower	VISIBLE:NO	SA:Assemble and Disassemble										MULT:NO									SOURCEPAGE:112
Clockwork Construct (greater)		TYPE:TechnomancerMajorPower	VISIBLE:NO	SA:Clockwork Construct (greater)									MULT:NO									SOURCEPAGE:112
Craft Technomantic Weapon		TYPE:TechnomancerMajorPower	VISIBLE:NO	SA:Craft Technomantic Weapon										MULT:NO									SOURCEPAGE:112
# Thaumaturge Feat Name			Type						Visible	Special Ability				Multiple?	Source Page
Create/Repair Essence Accumulator	TYPE:ThaumaturgeMinorPower	VISIBLE:NO	SA:Create/Repair Essence Accumulator								MULT:NO									SOURCEPAGE:112
Create Thaumaturgic Wand		TYPE:ThaumaturgeMinorPower	VISIBLE:NO	SA:Create Thaumaturgic Wand										MULT:NO									SOURCEPAGE:112
Utilize Quintessence			TYPE:ThaumaturgeMinorPower	VISIBLE:NO	SA:Utilize Quintessence											MULT:NO									SOURCEPAGE:112
Quantitative Analysis			TYPE:ThaumaturgeMinorPower	VISIBLE:NO	SA:Quantitative Analysis										MULT:NO									SOURCEPAGE:112
Distill Essence				TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SA:Distill Essence											MULT:NO									SOURCEPAGE:112
Dream Essence				TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SA:Dream Essence												MULT:NO									SOURCEPAGE:112
Elemental Essences (minor)		TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SA:Elemental Essences (minor)										MULT:NO									SOURCEPAGE:112
Elemental Essences (major)		TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SA:Elemental Essences (major)										MULT:NO									SOURCEPAGE:112
Cantrips					TYPE:ThaumaturgeMajorPower	VISIBLE:NO	SA:Cantrips													MULT:NO									SOURCEPAGE:112

###Block: Favored Terrains
# Feat Name					Type						Visible	Special Ability				Multiple?	Source Page
Favored Terrain (Forest)		TYPE:FavoredTerrain			VISIBLE:NO	SA:Favored Terrain (Forest)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Hills)			TYPE:FavoredTerrain			VISIBLE:NO	SA:Favored Terrain (Hills)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Mountains)		TYPE:FavoredTerrain			VISIBLE:NO	SA:Favored Terrain (Mountains)	MULT:NO	SOURCEPAGE:1
Favored Terrain (Plains)		TYPE:FavoredTerrain			VISIBLE:NO	SA:Favored Terrain (Plains)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Swamp)			TYPE:FavoredTerrain			VISIBLE:NO	SA:Favored Terrain (Swamp)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Desert)		TYPE:FavoredTerrainBarbarian		VISIBLE:NO	SA:Favored Terrain (Desert)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Jungle)		TYPE:FavoredTerrainBarbarian		VISIBLE:NO	SA:Favored Terrain (Jungle)		MULT:NO	SOURCEPAGE:1
Favored Terrain (Savannah)		TYPE:FavoredTerrainBarbarian		VISIBLE:NO	SA:Favored Terrain (Savannah)		MULT:NO	SOURCEPAGE:1
